interaction_sequence,epoch,pair_index,token_id,symbol,donor_tape,receiver_tape,pool_residence_interactions,opcode,template_source_tape,pool_multiplier,seed
999244,7807,76,78215,60,117,52,4,44,52,16.0,1
1005181,7853,125,78215,60,52,208,250,44,220,16.0,1
1006702,7865,110,78215,60,208,64,181,44,228,16.0,1
1007109,7869,5,78215,60,64,240,2,46,202,16.0,1
1008146,7877,18,78215,60,240,24,65,44,185,16.0,1
1010689,7897,1,78215,60,24,218,19,44,89,16.0,1
1014767,7928,111,78215,60,218,114,21,46,121,16.0,1
1024200,8002,72,78215,60,114,61,6694,44,61,16.0,1
1026266,8018,90,78215,60,61,2,103,44,202,16.0,1
1026307,8019,3,78215,60,2,241,41,46,241,16.0,1
1026318,8019,14,78215,60,241,69,11,46,233,16.0,1
1027112,8025,40,78215,60,69,66,221,44,66,16.0,1
53244,416,124,78064,60,148,19,25,44,81,16.0,1
54326,425,54,78064,60,19,188,839,44,153,16.0,1
54435,426,35,78064,60,188,94,109,45,94,16.0,1
54624,427,96,78064,60,94,196,8,44,29,16.0,1
68665,537,57,78064,60,196,254,64,44,51,16.0,1
69252,542,4,78064,60,254,212,203,44,51,16.0,1
71044,556,4,78064,60,212,209,21,44,56,16.0,1
83739,655,27,78064,60,209,91,66,44,190,16.0,1
83743,655,31,78064,60,91,123,4,44,217,16.0,1
84627,662,19,78064,60,123,232,141,44,190,16.0,1
84629,662,21,78064,60,232,217,2,43,217,16.0,1
84674,662,66,78064,60,217,6,45,44,252,16.0,1
84821,663,85,78064,60,6,188,26,44,190,16.0,1
84844,663,108,78064,60,188,29,23,43,29,16.0,1
91234,713,98,78064,60,29,91,17,44,190,16.0,1
97598,763,62,78064,60,91,191,6364,44,97,16.0,1
100285,784,61,78064,60,191,82,177,43,82,16.0,1
106850,835,98,78064,60,82,106,55,44,224,16.0,1
109271,854,87,78064,60,106,129,51,44,189,16.0,1
111750,874,6,78064,60,129,105,24,46,105,16.0,1
189180,1478,124,78064,60,105,159,44,44,40,16.0,1
289900,2265,108,78064,60,159,227,34,44,64,16.0,1
291853,2281,13,78064,60,227,5,38,44,18,16.0,1
295299,2308,3,78064,60,5,249,11,44,64,16.0,1
297984,2329,0,78064,60,249,195,33,46,197,16.0,1
301353,2355,41,78064,60,195,25,509,46,125,16.0,1
744324,5816,4,78064,60,25,104,117,44,104,16.0,1
746379,5832,11,78064,60,104,79,6,45,79,16.0,1
746496,5833,0,78064,60,79,110,117,43,110,16.0,1
747395,5840,3,78064,60,110,22,82,44,50,16.0,1
758517,5926,117,78064,60,22,132,9,45,132,16.0,1
758667,5928,11,78064,60,132,200,150,44,61,16.0,1
758687,5928,31,78064,60,200,67,20,46,67,16.0,1
758873,5929,89,78064,60,67,249,186,46,249,16.0,1
762635,5959,11,78064,60,249,161,2,43,161,16.0,1
776582,6068,6,78064,60,161,222,59,44,186,16.0,1
787635,6154,51,78064,60,222,52,86,44,52,16.0,1
792164,6189,100,78064,60,52,157,11,44,180,16.0,1
793625,6201,25,78064,60,157,188,11,44,55,16.0,1
793913,6203,57,78064,60,188,71,50,46,254,16.0,1
156909,1226,109,78331,60,96,110,4,44,250,16.0,0
156979,1227,51,78331,60,110,80,70,44,78,16.0,0
159477,1246,117,78331,60,80,81,9,44,158,16.0,0
160973,1258,77,78331,60,81,52,26,46,151,16.0,0
161372,1261,92,78331,60,52,2,25,43,2,16.0,0
162519,1270,87,78331,60,2,0,7,44,195,16.0,0
163336,1277,8,78331,60,0,69,2,43,69,16.0,0
163337,1277,9,78331,60,69,97,1,44,100,16.0,0
164000,1282,32,78331,60,97,90,285,44,125,16.0,0
166093,1298,77,78331,60,90,217,464,44,195,16.0,0
168780,1319,76,78331,60,217,246,9,44,31,16.0,0
170880,1336,0,78331,60,246,191,6,46,191,16.0,0
174519,1364,55,78331,60,191,218,487,46,218,16.0,0
180504,1411,24,78331,60,218,89,3,44,213,16.0,0
180511,1411,31,78331,60,89,157,7,43,157,16.0,0
181984,1422,96,78331,60,157,180,9,44,252,16.0,0
182958,1430,46,78331,60,180,219,1,44,179,16.0,0
183005,1430,93,78331,60,219,41,47,44,105,16.0,0
193642,1513,106,78331,60,41,222,15,46,40,16.0,0
194808,1522,120,78331,60,222,76,13,44,76,16.0,0
199367,1558,71,78331,60,76,166,2,44,203,16.0,0
228019,1782,51,78331,60,166,205,71,44,160,16.0,0
273703,2139,39,78331,60,205,63,21,44,91,16.0,0
275382,2152,54,78331,60,63,9,9,44,22,16.0,0
294800,2304,16,78331,60,9,209,342,44,209,16.0,0
298139,2330,27,78331,60,209,219,346,44,174,16.0,0
313100,2447,12,78331,60,219,54,7,44,54,16.0,0
322094,2517,46,78331,60,54,243,95,46,243,16.0,0
322225,2518,49,78331,60,243,54,131,44,54,16.0,0
328297,2565,105,78331,60,54,178,29,46,178,16.0,0
328608,2568,32,78331,60,178,203,22,44,129,16.0,0
328850,2570,18,78331,60,203,149,10,44,194,16.0,0
330746,2584,122,78331,60,149,171,15,44,222,16.0,0
335305,2620,73,78331,60,171,190,1,44,44,16.0,0
340841,2663,105,78331,60,190,121,15,46,37,16.0,0
341068,2665,76,78331,60,121,115,19,43,115,16.0,0
417334,3261,54,78331,60,115,145,29,44,145,16.0,0
491466,3840,74,78331,60,145,33,63899,44,33,16.0,0
494037,3860,85,78331,60,33,119,68,44,189,16.0,0
544613,4255,101,78331,60,119,144,5,44,95,16.0,0
410661,3209,37,77662,60,161,134,1092,44,104,16.0,0
413635,3232,67,77662,60,134,222,14,44,222,16.0,0
413806,3233,110,77662,60,222,220,11,45,220,16.0,0
414859,3242,11,77662,60,220,178,844,46,178,16.0,0
424895,3320,63,77662,60,178,65,9779,44,65,16.0,0
427641,3341,121,77662,60,65,2,24,46,2,16.0,0
433280,3386,0,77662,60,2,245,16,44,44,16.0,0
433283,3386,3,77662,60,245,38,3,46,100,16.0,0
434675,3396,115,77662,60,38,139,18,44,139,16.0,0
454951,3555,39,77662,60,139,212,17,44,212,16.0,0
455642,3560,90,77662,60,212,144,106,46,144,16.0,0
484006,3782,38,77662,60,144,19,16260,44,19,16.0,0
485544,3794,40,77662,60,19,21,3,44,189,16.0,0
490761,3835,9,77662,60,21,231,21,44,127,16.0,0
490767,3835,15,77662,60,231,54,6,44,54,16.0,0
493601,3857,33,77662,60,54,127,26,44,127,16.0,0
495939,3875,67,77662,60,127,34,103,46,34,16.0,0
497102,3884,78,77662,60,34,46,2,44,127,16.0,0
499884,3906,44,77662,60,46,34,23,46,20,16.0,0
504486,3942,38,77662,60,34,183,193,44,26,16.0,0
505244,3948,28,77662,60,183,50,9,46,20,16.0,0
509942,3984,118,77662,60,50,248,2,46,115,16.0,0
527819,4124,75,77662,60,248,19,7749,44,19,16.0,0
530269,4143,93,77662,60,19,24,42,46,24,16.0,0
531630,4154,46,77662,60,24,171,8,44,28,16.0,0
539007,4211,127,77662,60,171,253,3,44,10,16.0,0
540761,4225,89,77662,60,253,71,37,44,123,16.0,0
543244,4245,12,77662,60,71,57,13,46,57,16.0,0
546093,4267,45,77662,60,57,178,2578,44,175,16.0,0
549097,4290,105,77662,60,178,4,4,44,217,16.0,0
553076,4321,116,77662,60,4,157,1822,44,157,16.0,0
554594,4333,98,77662,60,157,188,235,44,68,16.0,0
554636,4334,12,77662,60,188,112,42,44,202,16.0,0
554771,4335,19,77662,60,112,20,3,44,20,16.0,0
558592,4365,0,77662,60,20,84,4,44,84,16.0,0
559153,4369,49,77662,60,84,69,20,44,2,16.0,0
559363,4371,3,77662,60,69,138,17,43,138,16.0,0
559366,4371,6,77662,60,138,51,3,44,125,16.0,0
567242,4432,74,77662,60,51,253,3624,44,71,16.0,0
567788,4436,108,77662,60,253,126,0,44,253,16.0,0
31933,250,61,8008,58,125,223,61,43,223,16.0,2
32009,251,9,8008,58,223,25,76,43,25,16.0,2
32244,252,116,8008,58,25,247,235,45,247,16.0,2
32360,253,104,8008,58,247,235,116,44,4,16.0,2
32374,253,118,8008,58,235,35,14,45,35,16.0,2
32519,255,7,8008,58,35,235,145,44,235,16.0,2
32555,255,43,8008,58,235,209,36,45,209,16.0,2
48989,383,93,8008,58,209,116,171,43,116,16.0,2
