seed,run_dir,tick,occupied,exact_count,near_count,opcode_count,exact_fraction,near_fraction,opcode_fraction,ancestry_count,ancestry_fraction
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,0,205,7,8,18,0.03414634146341464,0.03902439024390244,0.08780487804878048,16,0.07804878048780488
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,100,205,0,0,0,0.0,0.0,0.0,16,0.07804878048780488
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,200,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,300,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,400,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,500,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,600,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,700,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,800,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,900,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,1000,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,1100,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,1200,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,1300,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,1400,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,1500,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,1600,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,1700,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,1800,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608282,sweeps/phase2_parasite_positive_control/ancestry/seed_202608282,1900,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,0,205,8,8,15,0.03902439024390244,0.03902439024390244,0.07317073170731707,16,0.07804878048780488
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,100,205,0,15,0,0.0,0.07317073170731707,0.0,15,0.07317073170731707
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,200,205,0,2,0,0.0,0.00975609756097561,0.0,15,0.07317073170731707
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,300,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,400,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,500,205,0,0,0,0.0,0.0,0.0,15,0.07317073170731707
202608283,sweeps/phase2_parasite_positive_control/ancestry/seed_202608283,600,204,0,0,0,0.0,0.0,0.0,15,0.07352941176470588
