population_size,pool_multiplier,n_runs,entropy_transitions,all_conserved,overall_blocked_fraction_mean,overall_blocked_fraction_ci95_low,overall_blocked_fraction_ci95_high,pool_entropy_change_mean,pool_entropy_change_ci95_low,pool_entropy_change_ci95_high,final_pool_jsd_mean,final_pool_jsd_ci95_low,final_pool_jsd_ci95_high,maximum_high_order_entropy_mean,maximum_high_order_entropy_ci95_low,maximum_high_order_entropy_ci95_high,recycled_withdrawal_lower_bound_mean,recycled_withdrawal_lower_bound_ci95_low,recycled_withdrawal_lower_bound_ci95_high,cross_tape_copy_success_mean,cross_tape_copy_success_ci95_low,cross_tape_copy_success_ci95_high,spectral_peak_power_fraction_mean,spectral_peak_power_fraction_ci95_low,spectral_peak_power_fraction_ci95_high,maximum_dominant_tape_fraction_mean,maximum_dominant_tape_fraction_ci95_low,maximum_dominant_tape_fraction_ci95_high
256,0.1,5,0,True,0.3029973924722861,0.255609355142553,0.3630072599146609,-0.5493781806493148,-0.5636988522781738,-0.5371730469039211,0.14561716925623155,0.14263188447806674,0.14964854154150792,0.11557827285531146,0.0799719675328189,0.16166053963652902,0.9992712213686143,0.9992028513304024,0.9993368139219296,386787.6,327090.6,421409.2,0.03417429710705993,0.021612106260618984,0.04673648795350087,0.00390625,0.00390625,0.00390625
256,0.5,5,0,True,0.1485742483473581,0.09450602764400473,0.19387756983768933,-0.19513436682129176,-0.22311029204833907,-0.16622319966829197,0.0483237033857902,0.03992393980814612,0.0567376974565747,0.3617127736444992,0.2560386428563641,0.4673869044326343,0.9966245547082172,0.9961385693844645,0.9971105400319699,560706.2,400486.0,737548.8,0.05833355430774391,0.04150414599565336,0.07405704961721579,0.00390625,0.00390625,0.00390625
256,2.0,5,0,True,0.03079511245966543,0.017831609863120747,0.04752724421259361,-0.07030170709090075,-0.07672070815934155,-0.06270593565473295,0.017894532077596496,0.01540243062026522,0.0206171791897795,0.6140448015340354,0.47935043328319066,0.742351297768186,0.9865050036154022,0.9845817128632518,0.9900935342654821,549947.2,468579.2,659977.6,0.010947376429026144,0.00830349854753926,0.013591254310513029,0.00625,0.0046875,0.0078125
256,16.0,5,0,True,0.001428526306901092,0.0004379254030157996,0.002419127210786384,-0.008016212603874352,-0.009841986296354754,-0.006185282793511426,0.00175473839880374,0.00141683182968576,0.00218636877163434,0.476071045294713,0.3838439489441871,0.5682981416452388,0.9483366196511682,0.9385858701207275,0.9580873691816088,1887891.8,1582609.6,2197068.0,0.0023605029693760065,0.000968264369687874,0.003706638762582708,0.00703125,0.00546875,0.0078125
256,256.0,5,0,True,0.0,0.0,0.0,-0.0001594604964296309,-0.0002458699963916899,-7.62130413786366e-05,6.417547399929151e-06,4.821815001112792e-06,7.928744463694703e-06,0.476071045294713,0.3838439489441871,0.5682981416452388,0.31705834796597027,0.23461101334212486,0.4291889128224791,1932347.6,1406376.2,2791194.6,0.0,0.0,0.0,0.00703125,0.00546875,0.0078125
4096,0.5,3,0,True,0.06380130530867167,0.05188167949398383,0.08542508864382765,-0.14417535924629496,-0.16332796058709942,-0.13047624761649512,0.04213625854046926,0.0385597349568091,0.0479428977416507,0.4057958747884083,0.3820513086128922,0.436741459097596,0.9958842273316798,0.9955599863737548,0.996081369870344,6968499.333333333,6600524.0,7285312.0,0.050642430969163654,0.03659628798942577,0.06933059822560908,0.0009765625,0.0009765625,0.0009765625
4096,2.0,3,0,True,0.015733791728079125,0.01442565728815746,0.017391294767973634,-0.04634519522566608,-0.05102092357579746,-0.03940632480933637,0.0141790057364142,0.0123858950133355,0.0158056466122494,0.4250227280140025,0.3666513604974186,0.4730885282572448,0.9891532643863488,0.988746803025138,0.9899528416641412,12446556.0,11676263.0,13026755.0,0.015857604795688006,0.01128917295684592,0.018902193644755587,0.0009765625,0.000732421875,0.001220703125
4096,16.0,3,0,True,0.00022058702369662903,0.00014417419570777763,0.0003281928365667782,-0.005967061778498224,-0.007670683888581387,-0.004741053018071817,0.0016760287122630998,0.0013566873216598,0.0021518261392051,0.3467954089374577,0.3362839441776657,0.3662039461203354,0.9629712723717846,0.9591133137414452,0.9669538070792312,46219575.0,43164502.0,48334034.0,0.0039025570492787643,0.0026122187550422613,0.004583496550258667,0.00048828125,0.00048828125,0.00048828125
