seed,stop_tick,tick,family_observed,family_null,family_excess,family_p,root_excess,root_p,occupied
202609193,0,10000,0.11317999269806499,0.06219887749211457,0.05098111520595042,0.002,0.050335650505172816,0.005,836
202609193,0,12000,0.12025316455696203,0.06182133440372928,0.05843183015323275,0.002,0.05868882760788305,0.005,827
202609193,0,15000,0.13350983358547655,0.06262979817426077,0.07088003541121578,0.002,0.07008187685781403,0.005,822
202609193,0,19900,0.1511500547645126,0.06335050531877921,0.08779954944573339,0.002,0.0940683703291925,0.005,838
202609194,0,10000,0.10961810466760961,0.061215783759881855,0.04840232090772776,0.002,0.05258435032304379,0.005,851
202609194,0,12000,0.12025316455696203,0.06164720439472476,0.05860596016223727,0.002,0.0641198255694789,0.005,852
202609194,0,15000,0.1353021978021978,0.06194187826201854,0.07336031954017926,0.002,0.0775701999006019,0.005,861
202609194,0,19900,0.1495741056218058,0.06243014137303568,0.0871439642487701,0.002,0.09274139008500766,0.005,866
202609195,0,10000,0.11386811692726037,0.061783662498348164,0.05208445442891221,0.002,0.06166625103764916,0.005,868
202609195,0,12000,0.12176870748299319,0.06145011110656688,0.06031859637642631,0.002,0.070406454038902,0.005,867
202609195,0,15000,0.12936827956989247,0.0616602829314543,0.06770799663843817,0.002,0.0781663694818177,0.005,873
202609195,0,19900,0.1467670201847417,0.06202072293749319,0.0847462972472485,0.002,0.093806356448682,0.005,865
202609196,0,10000,0.11607786589762076,0.0617745946109956,0.054303271286625154,0.002,0.056475600786919454,0.005,841
202609196,0,12000,0.12214285714285714,0.061868737474949906,0.06027411966790723,0.002,0.06442211055276383,0.005,847
202609196,0,15000,0.13367052023121387,0.06244859661519571,0.07122192361601816,0.002,0.07588520637871439,0.005,842
202609196,0,19900,0.1582931865106676,0.06258559789917068,0.09570758861149692,0.002,0.0987992266909219,0.005,865
202609197,0,10000,0.10520446096654275,0.06216075273223026,0.043043708234312486,0.002,0.05088266611869757,0.005,831
202609197,0,12000,0.11798561151079137,0.06219633511627571,0.05578927639451566,0.002,0.06203318752033549,0.005,844
202609197,0,15000,0.1274546128195628,0.06207375848399281,0.06538085433556999,0.002,0.07088424709691472,0.005,832
202609197,0,19900,0.148014440433213,0.06261701099752655,0.08539742943568644,0.002,0.09307064806584063,0.005,798
202609198,0,10000,0.1167654234925061,0.06181830373888244,0.05494711975362366,0.002,0.059438005643414005,0.005,857
202609198,0,12000,0.11775232641374374,0.06141201515414508,0.05634031125959866,0.002,0.06422412707776534,0.005,847
202609198,0,15000,0.13225225225225226,0.06192493094296701,0.07032732130928525,0.002,0.07743582778758659,0.005,844
202609198,0,19900,0.15319449346981998,0.06157107720559368,0.09162341626422629,0.002,0.09823207105062907,0.005,853
202609199,0,10000,0.10390567428150331,0.061824459530704735,0.042081214750798575,0.002,0.052982302818440026,0.005,832
202609199,0,12000,0.1117712588191608,0.062022299333163174,0.04974895948599762,0.002,0.06140617681799267,0.005,829
202609199,0,15000,0.12085042894442372,0.06218255234826235,0.058667876596161364,0.002,0.07099091128900752,0.005,828
202609199,0,19900,0.140117994100295,0.062430909015671464,0.07768708508462352,0.002,0.09213100902743808,0.005,835
202609200,0,10000,0.11598111935266352,0.06184384953318639,0.05413726981947713,0.002,0.050149601683400144,0.005,873
202609200,0,12000,0.12653061224489795,0.062282387905061826,0.06424822433983612,0.002,0.059308446996889204,0.005,867
202609200,0,15000,0.13757495003331113,0.06204747936913134,0.0755274706641798,0.002,0.07163565997877462,0.005,875
202609200,0,19900,0.15727775968739824,0.062184283904833444,0.0950934757825648,0.002,0.09322581648064485,0.005,886
202609201,0,10000,0.11589522784355938,0.06224073550761372,0.05365449233594566,0.002,0.05617791144455683,0.005,846
202609201,0,12000,0.12337662337662338,0.06226160835379272,0.061115015022830656,0.002,0.06686571385063847,0.005,844
202609201,0,15000,0.13284262180161233,0.06227597150136235,0.07056665030024997,0.002,0.0784839021606455,0.005,854
202609201,0,19900,0.1473721590909091,0.06256689515394424,0.08480526393696484,0.002,0.0955987322978529,0.005,849
202609202,0,10000,0.11178571428571428,0.062088462639564836,0.049697251646149444,0.002,0.054502871500358936,0.005,849
202609202,0,12000,0.11915483200554208,0.06259974052712283,0.05655509147841925,0.002,0.06315261795642571,0.005,862
202609202,0,15000,0.13627254509018036,0.06250510372782975,0.07376744136235061,0.002,0.0767733121183741,0.005,875
202609202,0,19900,0.16319677635997312,0.06361884278967606,0.09957793357029707,0.002,0.09975667457502421,0.005,873
202609193,10000,10000,0.11317999269806499,0.06219887749211457,0.05098111520595042,0.002,0.050335650505172816,0.005,836
202609193,10000,12000,0.11133521581282775,0.061773405625288505,0.049561810187539246,0.002,0.04998570910218701,0.005,796
202609193,10000,15000,0.10533642691415314,0.061928032398904535,0.043408394515248604,0.002,0.04741340111228999,0.005,743
202609193,10000,19900,0.10049153468050245,0.06263318554093442,0.03785834913956804,0.002,0.045470388534699716,0.005,682
202609194,10000,10000,0.10961810466760961,0.061215783759881855,0.04840232090772776,0.002,0.05258435032304379,0.005,851
202609194,10000,12000,0.10711553175210406,0.06138750339240072,0.04572802835970334,0.002,0.05310408200143795,0.005,816
202609194,10000,15000,0.10191082802547771,0.06170727867624846,0.040203549349229255,0.002,0.04844391810432204,0.005,771
202609194,10000,19900,0.09841107124551512,0.061643533093865846,0.03676753815164928,0.002,0.04470842165723543,0.005,701
202609195,10000,10000,0.11386811692726037,0.061783662498348164,0.05208445442891221,0.002,0.06166625103764916,0.005,868
202609195,10000,12000,0.11415863602668644,0.06207002589315027,0.05208861013353617,0.002,0.058397994419838256,0.005,828
202609195,10000,15000,0.11233211233211234,0.06201006000605199,0.050322052326060344,0.002,0.059319798013265354,0.005,791
202609195,10000,19900,0.11039921143420404,0.062296105271163325,0.04810310616304072,0.002,0.057148730344675575,0.005,720
202609196,10000,10000,0.11607786589762076,0.0617745946109956,0.054303271286625154,0.002,0.056475600786919454,0.005,841
