experiment,arm,run_id,epochs,min_high_order_entropy,final_high_order_entropy,viable_every_callback,longest_below_1_run_epochs,first_soup_jsd_from_pool,final_soup_jsd_from_pool,jsd_pool_ratio,first_soup_jsd_from_uniform,final_soup_jsd_from_uniform,overall_blocked_fraction,final_zero_pool_symbols,final_distinct_tapes,final_dominant_fraction,max_conservation_residual
F1,U0.5,p1_m0p5_n131072_s0_uniform_cont,8000,5.961507964985468,6.040168192265622,True,0,0.0908488398333617,0.1440436228460199,1.585530680526356,0.0901873034388505,0.0808279895343139,1.9079469447296935e-06,0,35437,0.0009002685546875,0
F1,U2,p1_m2_n131072_s0_uniform_cont,8000,5.618320632477094,5.905983118726567,True,0,0.0903440479406815,0.1326726973268622,1.468527261629599,0.0901873034388505,0.0940031840488558,1.2438027983631553e-05,0,58820,0.0009231567382812,0
F1,U16,p1_m16_n131072_s0_uniform_cont,8000,5.633986784667593,5.803862398770186,True,0,0.0902065841102699,0.1348454626904419,1.4948516676521613,0.0901873034388505,0.1256923524075798,0.0,0,81736,0.0009078979492187,0
F3-control,M0.5,p1_m0p5_n131072_s0_cont,8000,5.903778169875132,5.952791309999224,True,0,7.67364612265744e-05,0.10698281767861625,1394.1588648808752,0.09018730343885059,0.08699912228840924,5.838972747481394e-06,0,37106,0.000640869140625,0
F3-control,M2,p1_m2_n131072_s0_cont,8000,5.983343033165213,6.046321659391118,True,0,1.9186442773292886e-05,0.045794437067307785,2386.812271999302,0.09018730343885059,0.08430249277614002,2.559965510557339e-07,0,37179,0.0009078979492187,0
F3-control,M16,p1_m16_n131072_s0_cont,8000,5.633986784667593,5.803862398770186,True,0,9.629834851033172e-06,0.07815119854565064,8115.528433726556,0.09018730343885059,0.12569235240757984,0.0,0,81736,0.0009078979492187,0
