birth_energy_cost,runs,feasible,median_births,energy_block_runs,energy_blocks,pool_blocks,median_depth,median_occupancy,median_tape_energy,median_dissipated,max_energy_error,conserved,invariant_failures
0.0,10,10,84.0,0,0,0,2.0,0.8450751953125,5.36875944170766,0.9843346084071075,1.8909486243501305e-11,True,0
5.0,10,10,37.5,10,473,0,2.0,0.8040341796874999,5.329886696407112,0.9840800251082724,1.945390977198258e-11,True,0
