run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p
sweeps/phase2_liveness_confirmation/runs/20260826T023047.263222Z_ae8e3347c54d_202608250,202608250,1e-05,1e-05,True,0,True,0,792,0.775314453125,0,1.0,2146202,33,6,499,True,4900,793,793,0.0,1.0,241.2155734560793,241.2155734560793,0.0,1.0,4500,0.0068079029198065185,0.005,0.07522740660580851,0.165
sweeps/phase2_liveness_confirmation/runs/20260826T023047.263810Z_1557251a7023_202608251,202608251,1e-05,1e-05,True,0,True,0,783,0.766833984375,0,1.0,1104923,51,17,499,True,4900,784,784,0.0,1.0,237.31891891891834,237.3189189189183,2.842170943040401e-14,1.0,4500,0.004916652048744749,0.005,-0.03603713203601089,0.645
sweeps/phase2_liveness_confirmation/runs/20260826T023047.263837Z_bef851b4bfbd_202608252,202608252,1e-05,1e-05,True,0,True,0,780,0.763314453125,0,1.0,891314,47,8,499,True,4900,780,780,0.0,1.0,236.54743390357714,236.54743390357714,0.0,1.0,4500,0.004728600924905403,0.005,0.045139562511467446,0.28
