arm,seed,entropy_transition,first_transition_epoch,max_high_order_entropy,final_high_order_entropy,held_to_end,initial_excluded_share,final_excluded_share,excluded_share_growth,blocked_fraction_on_excluded,overall_blocked_fraction,max_conservation_residual,run_dir
H1-exsix,0,False,,0.877327713523437,0.2900520399475219,False,0.023570537567138672,0.020687103271484375,0.8776678602496409,0.8148395710800923,0.0353277243082419,0,experiments/phase1_runs/batch6_origin/p1_m2_n32768_s0_exlist6_4e46cb76
H1-exsix,1,False,,0.7820659984480756,0.2906368896637001,False,0.02345752716064453,0.020716190338134766,0.8831361548156279,0.8354080464861278,0.04065736076263687,0,experiments/phase1_runs/batch6_origin/p1_m2_n32768_s1_exlist6_4e46cb76
H1-exsix,2,False,,0.6328520531963449,0.3003845014073913,False,0.023256778717041016,0.020680904388427734,0.8892419986467923,0.8201968893186621,0.03847340133369312,0,experiments/phase1_runs/batch6_origin/p1_m2_n32768_s2_exlist6_4e46cb76
H1-exsix,3,False,,0.9384743862050248,0.2932503069054855,False,0.02344512939453125,0.020655155181884766,0.880999837292548,0.8454065934614005,0.043072860399298946,0,experiments/phase1_runs/batch6_origin/p1_m2_n32768_s3_exlist6_4e46cb76
H1-exsix,4,False,,0.765942797825625,0.2526784322456503,False,0.023313045501708984,0.02312183380126953,0.991798081446483,0.9351596156549791,0.05432639605569864,0,experiments/phase1_runs/batch6_origin/p1_m2_n32768_s4_exlist6_4e46cb76
H2-ex0,0,False,,0.887724820195511,0.3576932623094233,False,0.003909111022949219,0.0038766860961914062,0.9917052939741401,0.35566929992671314,0.01923589440990518,0,experiments/phase1_runs/batch6_origin/p1_m2_n32768_s0_exlist1_d202ef8d
H2-ex0,1,False,,0.8004990959732368,0.3803134887937576,False,0.0038738250732421875,0.0038280487060546875,0.9881831610044313,0.06615638621900853,0.017472370675860244,0,experiments/phase1_runs/batch6_origin/p1_m2_n32768_s1_exlist1_d202ef8d
H2-ex0,2,False,,0.8840789332696604,0.2907074770154043,False,0.003871440887451172,0.003658771514892578,0.9450671264934105,0.034851232898433455,0.017278686444154007,0,experiments/phase1_runs/batch6_origin/p1_m2_n32768_s2_exlist1_d202ef8d
