label,block_size,mean_unique_fraction,mean_singleton_tape_fraction,observed_beta,null_mean_beta,beta_excess,p_value,snapshots,permutations
ordered_full,2,0.7666675766193725,0.6867160414219968,120.01435062986843,119.80250507209286,0.21184555777557534,0.075,10,199
ordered_full,4,0.7666675766193725,0.6867160414219968,36.80489307730959,36.71144466375742,0.09344841355217426,0.145,10,199
ordered_full,8,0.7666675766193725,0.6867160414219968,10.110813584507344,10.070127271917858,0.04068631258948585,0.135,10,199
ordered_full,16,0.7666675766193725,0.6867160414219968,2.9873266678307777,2.972975024750569,0.014351643080208643,0.095,10,199
ordered_prefix8,2,0.7498734675682768,0.6658230917762863,115.60862651819227,115.3366463455321,0.2719801726601645,0.025,10,199
ordered_prefix8,4,0.7498734675682768,0.6658230917762863,35.48906297555923,35.385429111704845,0.10363386385438389,0.085,10,199
ordered_prefix8,8,0.7498734675682768,0.6658230917762863,9.8046982394204,9.744832184129043,0.0598660552913568,0.045,10,199
ordered_prefix8,16,0.7498734675682768,0.6658230917762863,2.9306366224565106,2.9084680927465687,0.022168529709941875,0.035,10,199
opcode_histogram,2,0.6966621609874949,0.5761730878646194,106.37533313752502,106.2327069496328,0.14262618789221904,0.11,10,199
opcode_histogram,4,0.6966621609874949,0.5761730878646194,32.65080638001769,32.61554043170885,0.03526594830884022,0.305,10,199
opcode_histogram,8,0.6966621609874949,0.5761730878646194,9.058233080304687,9.025592209460678,0.03264087084400913,0.145,10,199
opcode_histogram,16,0.6966621609874949,0.5761730878646194,2.7555170829773017,2.7406914685840897,0.01482561439321195,0.1,10,199
opcode_presence,2,0.47159132015255933,0.2779528395464045,66.34431323750144,65.99637262417595,0.3479406133254912,0.005,10,199
opcode_presence,4,0.47159132015255933,0.2779528395464045,20.629839619552534,20.515490525704877,0.11434909384765746,0.035,10,199
opcode_presence,8,0.47159132015255933,0.2779528395464045,5.975990999800459,5.935993088324111,0.03999791147634735,0.105,10,199
opcode_presence,16,0.47159132015255933,0.2779528395464045,2.0793850267865945,2.06384366456836,0.015541362218234323,0.075,10,199
