epoch,elapsed_seconds,character_reads,byte_entropy,brotli_size,compressed_bpb,high_order_entropy
1,1.9711224581114948,39952493,7.999975196741979,8388694,8.000082015991211,-0.00010681924923172659
129,3.167472792090848,4771125161,7.998719532697514,8206108,7.825954437255859,0.17276509544165464
257,4.339799208100885,9353638458,7.995777702181625,8096988,7.721889495849609,0.2738882063320158
385,5.4858485830482095,13833176650,7.990763144321473,8022667,7.6510114669799805,0.3397516773414928
513,6.62481079204008,18244813337,7.983331686848729,7978533,7.608922004699707,0.3744096821490217
641,7.7580906671937555,22625162613,7.974458135628664,7956282,7.587701797485352,0.38675633814331256
769,8.891267042141408,27003154896,7.963628122032122,7950851,7.582522392272949,0.3811057297591729
897,10.026173292193562,31340533413,7.951204128373776,7952032,7.583648681640625,0.3675554467331512
1025,11.156412000069395,35690885539,7.937676027734814,7950551,7.582236289978027,0.35543973775678683
1153,12.290011833189055,40024891986,7.92437725473631,7953040,7.5846099853515625,0.33976726938474755
1281,13.449954750016332,44385068784,7.910371026177699,7943751,7.575751304626465,0.3346197215512339
1409,14.623678875155747,48786487556,7.8948132686730315,7937182,7.569486618041992,0.32532665063103927
1537,15.797069750027731,53209876903,7.878979276837607,7933063,7.565558433532715,0.3134208433048924
1665,16.98236225009896,57691516929,7.861701216635485,7923843,7.556765556335449,0.3049356603000355
1793,18.191818667110056,62269418707,7.844974832176447,7916745,7.549996376037598,0.29497845613884977
1921,19.41568687511608,66916898837,7.828076357580302,7909328,7.5429229736328125,0.2851533839474891
2049,20.65596883301623,71619601896,7.810218537903115,7900931,7.534914970397949,0.2753035675051656
2177,21.9306632920634,76400859901,7.792938548134808,7895729,7.529953956604004,0.2629845915308042
2305,23.23841750016436,81271885595,7.775196293686822,7889738,7.524240493774414,0.2509557999124077
2433,24.548443333012983,86242576100,7.758588180436213,7884844,7.519573211669922,0.23901496876629125
2561,25.865249708062038,91264930577,7.742948953779445,7887497,7.522103309631348,0.22084564414809726
2689,27.22497395798564,96410775680,7.729039542588297,7886950,7.521581649780273,0.20745789280802374
2817,28.597232333151624,101668003057,7.714560964808566,7885963,7.5206403732299805,0.19392059157858554
2945,29.978353917133063,106981527003,7.70276274227694,7888406,7.522970199584961,0.1797925426919793
3073,31.35971250012517,112320583104,7.69413852977228,7895541,7.5297746658325195,0.16436386393976044
3201,32.76708058314398,117721950012,7.683609852689527,7893388,7.527721405029297,0.1558884476602298
3329,34.194574624998495,123233062355,7.6760413358959845,7895021,7.529278755187988,0.1467625807079962
3457,35.63736241706647,128823632428,7.666967020571031,7891320,7.525749206542969,0.141217814028062
3585,37.08860708307475,134435916528,7.660766473798823,7892215,7.526602745056152,0.13416372874267068
3713,38.54784375010058,140077945450,7.651152107301434,7887637,7.5222368240356445,0.1289152832657896
3841,40.00728458305821,145785827095,7.643843450945682,7879923,7.514880180358887,0.12896327058679535
3969,41.484842125093564,151527546479,7.6378562014006945,7882932,7.517749786376953,0.12010641502374142
4097,42.96720808302052,157305656743,7.6297768848536345,7881540,7.516422271728516,0.11335461312511885
4225,44.45874566701241,163104763285,7.624560758709546,7879984,7.5149383544921875,0.10962240421735814
4353,45.96549395797774,168911153125,7.617448019638359,7873434,7.508691787719727,0.10875623191863237
4481,47.46916545811109,174714844908,7.613664109919746,7877246,7.512327194213867,0.101336915705879
4609,48.972735750023276,180519957227,7.608592935766805,7876271,7.511397361755371,0.09719557401143408
4737,50.47067675017752,186365830302,7.6024726198433,7874712,7.509910583496094,0.09256203634720617
4865,51.97527083312161,192252374051,7.598939688492209,7872340,7.507648468017578,0.09129122047463056
4993,53.47323495801538,198148281919,7.598061322314756,7871920,7.5072479248046875,0.09081339751006823
5121,54.990838792175055,204047318034,7.593761043412057,7861762,7.497560501098633,0.09620054231342401
5249,56.5303756671492,209950242834,7.589822076953503,7858754,7.494691848754883,0.09513022819862016
