seed,max_ancestry_fraction_global,final_ancestry_fraction_global,max_exact_r_fraction_global,final_exact_r_fraction_global,reached_90pct_global,population_persisted_global,max_ancestry_fraction_local,final_ancestry_fraction_local,max_exact_r_fraction_local,final_exact_r_fraction_local,reached_90pct_local,population_persisted_local,final_ancestry_difference,max_ancestry_difference,final_exact_r_difference
202608320,0.9948453608247424,0.9948453608247424,0.423841059602649,0.0006443298969072,True,True,0.3853305785123967,0.382172131147541,0.3543388429752066,0.35040983606557374,False,True,0.6126732296772014,0.6095147823123457,-0.34976550616866653
202608321,0.9642857142857144,0.9639115250291036,0.7711726384364821,0.7532013969732246,True,True,0.2301980198019802,0.04983388704318937,0.2103960396039604,0.035437430786267994,False,True,0.9140776379859142,0.7340876944837342,0.7177639661869566
202608322,0.9759036144578314,0.9759036144578314,0.8261327713382508,0.820615796519411,True,True,0.4074844074844075,0.3942208462332301,0.288981288981289,0.2807017543859649,False,True,0.5816827682246013,0.5684192069734239,0.5399140421334461
202608323,0.9693251533742332,0.9682337992376112,0.7893462469733656,0.7814485387547649,True,True,0.25637910085054677,0.24914383561643835,0.23016905071521457,0.2029109589041096,False,True,0.7190899636211728,0.7129460525236864,0.5785375798506553
202608324,0.9987046632124352,0.9932432432432432,0.4875,0.0067567567567567,True,True,0.29428989751098095,0.277337559429477,0.24011713030746706,0.17115689381933438,False,True,0.7159056838137662,0.7044147657014543,-0.1644001370625777
202608325,0.9701298701298702,0.9701298701298702,0.8487084870848709,0.8441558441558441,True,True,0.3576494427558257,0.3460764587525151,0.26443768996960487,0.2595573440643863,False,True,0.624053411377355,0.6124804273740445,0.5845985000914578
202608326,1.0,1.0,0.7623626373626373,0.7608695652173914,True,True,0.6733760292772186,0.6733760292772186,0.16799091940976163,0.06221408966148216,False,True,0.3266239707227814,0.3266239707227814,0.6986554755559092
202608327,0.9846278317152104,0.9840566873339238,0.680651221039449,0.3002657218777679,True,True,0.3547376664056382,0.3547376664056382,0.3101018010963195,0.3101018010963195,False,True,0.6293190209282856,0.6298901653095722,-0.009836079218551619
202608328,0.9653179190751444,0.9650602409638556,0.8741935483870967,0.8602409638554217,True,True,0.24800637958532695,0.23647711511789182,0.22727272727272727,0.20249653259361997,False,True,0.7285831258459637,0.7173115394898175,0.6577444312618017
202608329,1.0,1.0,0.53,0.0039682539682539,True,True,0.23338485316846985,0.23338485316846985,0.1814814814814815,0.16460587326120557,False,True,0.7666151468315301,0.7666151468315301,-0.16063761929295167
