seed,run_dir,tick,total_count,ancestry_count,ancestry_fraction,family_species_count
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,7500,1407,1334,0.9481165600568585,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,7600,1392,1321,0.9489942528735632,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,7700,1361,1293,0.9500367376928729,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,7800,1335,1268,0.949812734082397,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,7900,1315,1250,0.9505703422053232,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,8000,1288,1226,0.9518633540372671,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,8100,1243,1183,0.9517296862429606,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,8200,1202,1145,0.9525790349417638,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,8300,1173,1120,0.9548167092924126,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,8400,1142,1092,0.9562171628721541,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,8500,1131,1087,0.9610963748894783,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,8600,1108,1064,0.9602888086642599,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,8700,1068,1026,0.9606741573033708,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,8800,1051,1014,0.9647954329210275,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,8900,1013,976,0.9634748272458046,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,9000,987,951,0.9635258358662614,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,9100,969,935,0.9649122807017544,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,9200,942,910,0.9660297239915074,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,9300,918,886,0.9651416122004357,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,9400,895,866,0.9675977653631285,147
202608323,experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,9500,866,839,0.9688221709006929,147
