seed,stop_tick,tick,family_observed,family_null,family_excess,family_p,root_excess,root_p,occupied
202609160,0,10000,0.10658499234303216,0.061789735673490935,0.04479525666954123,0.002,0.04951557173309118,0.005,913
202609160,0,12000,0.11158553942499289,0.06195653476038328,0.04962900466460961,0.002,0.056692514665556644,0.005,948
202609160,0,15000,0.11972827625247665,0.06217473157466929,0.05755354467780736,0.002,0.06396972123567171,0.005,952
202609160,0,19900,0.13819226750261232,0.06211011364421633,0.07608215385839599,0.002,0.07946472172776108,0.005,990
202609161,0,10000,0.11460807600950118,0.0616280066070383,0.05298006940246288,0.002,0.05441399396030032,0.005,929
202609161,0,12000,0.11744286954006364,0.061858168173199155,0.055584701366864483,0.002,0.05932468242281701,0.005,941
202609161,0,15000,0.13141793030061186,0.06189393951510363,0.06952399078550822,0.002,0.0735120133789458,0.005,980
202609161,0,19900,0.14677103718199608,0.06215709305107278,0.0846139441309233,0.002,0.08926850495137134,0.005,1023
202609162,0,10000,0.10625954198473282,0.06176260918784133,0.04449693279689149,0.002,0.046631631439640955,0.005,918
202609162,0,12000,0.1113695841814481,0.06157706515094743,0.04979251903050067,0.002,0.05566652687689684,0.005,939
202609162,0,15000,0.12963973799126638,0.062239653980449984,0.0674000840108164,0.002,0.0700719755985166,0.005,969
202609162,0,19900,0.14425244177310292,0.061964148683041016,0.08228829309006191,0.002,0.0873375140163628,0.005,1011
202609163,0,10000,0.11382598331346841,0.061725357747676526,0.05210062556579188,0.002,0.05020034618863088,0.005,927
202609163,0,12000,0.125,0.06210432228092548,0.06289567771907452,0.002,0.06022727272727273,0.005,950
202609163,0,15000,0.13491635186184567,0.06216642675529147,0.0727499251065542,0.002,0.0719165172869203,0.005,974
202609163,0,19900,0.14860834990059643,0.06268999231066506,0.08591835758993137,0.002,0.08592040720501114,0.005,1015
202609164,0,10000,0.10485085869237722,0.06176378064957876,0.04308707804279845,0.002,0.056461881568129896,0.005,922
202609164,0,12000,0.11476355247981546,0.06193702283459653,0.052826529645218924,0.002,0.06544690001333078,0.005,942
202609164,0,15000,0.1253731343283582,0.061493951267528275,0.06387918306082993,0.002,0.0771660200595924,0.005,971
202609164,0,19900,0.14267897231229734,0.06205376580049597,0.08062520651180137,0.002,0.0943630599994234,0.005,1013
202609165,0,10000,0.09980928162746344,0.06147705455411777,0.03833222707334567,0.002,0.04625160129956841,0.005,898
202609165,0,12000,0.10788133053640996,0.061539921317012206,0.04634140921939775,0.002,0.05524777016638482,0.005,924
202609165,0,15000,0.11696403285188332,0.061816638090681504,0.05514739476120182,0.002,0.06424788911991279,0.005,951
202609165,0,19900,0.13606855362243572,0.06205659826534398,0.07401195535709174,0.002,0.08233585481288552,0.005,993
202609166,0,10000,0.1104468219005664,0.0616834676275143,0.0487633542730521,0.002,0.05117785276287036,0.005,902
202609166,0,12000,0.11911273169249469,0.06229840416171145,0.056814327530783235,0.002,0.05903415589036034,0.005,917
202609166,0,15000,0.13063451047947172,0.06177499989931054,0.06885951058016118,0.002,0.07027817814308407,0.005,944
202609166,0,19900,0.14387351778656127,0.06220873895353289,0.08166477883302838,0.002,0.086087883422382,0.005,986
202609167,0,10000,0.11677092642240096,0.06185680864260543,0.054914117779795525,0.002,0.05345164907049397,0.005,928
202609167,0,12000,0.1254406580493537,0.0622419927987585,0.0631986652505952,0.002,0.059638675161943676,0.005,933
202609167,0,15000,0.13176338659938325,0.06229391780477131,0.06946946879461194,0.002,0.06967131705626534,0.005,955
202609167,0,19900,0.14675324675324675,0.06213517944980871,0.08461806730343804,0.002,0.08518044769301052,0.005,993
202609168,0,10000,0.0989010989010989,0.06186548922019864,0.03703560968090026,0.002,0.05145845221222106,0.005,915
202609168,0,12000,0.10746268656716418,0.061958543953578804,0.045504142613585374,0.002,0.057676441911047774,0.005,926
202609168,0,15000,0.11665182546749778,0.06172868146503752,0.054923144002460254,0.002,0.0665392859220412,0.005,929
202609168,0,19900,0.13453761121596117,0.06213613530647167,0.0724014759094895,0.002,0.08447467859654162,0.005,975
202609169,0,10000,0.10134923125196109,0.06193371996581805,0.03941551128614304,0.002,0.05037582011090911,0.005,905
202609169,0,12000,0.10878034162421336,0.061769328287981415,0.04701101333623195,0.002,0.05885736744857039,0.005,926
202609169,0,15000,0.12319644839067703,0.0620936656887582,0.06110278270191883,0.002,0.07232332584119264,0.005,961
202609169,0,19900,0.1423679060665362,0.06229533430853879,0.08007257175799742,0.002,0.08965571497408766,0.005,1023
202609160,10000,10000,0.10658499234303216,0.061789735673490935,0.04479525666954123,0.002,0.04951557173309118,0.005,913
202609160,10000,12000,0.10778061224489796,0.06173252116477854,0.046048091080119424,0.002,0.05021600348682186,0.005,895
202609160,10000,15000,0.10782608695652174,0.06174296418924806,0.04608312276727368,0.002,0.049665719903867166,0.005,859
202609160,10000,19900,0.10635099586621571,0.06162720028557679,0.04472379558063892,0.002,0.046200563131327435,0.005,827
202609161,10000,10000,0.11460807600950118,0.0616280066070383,0.05298006940246288,0.002,0.05441399396030032,0.005,929
202609161,10000,12000,0.1130988477865373,0.06195228540768621,0.05114656237885109,0.002,0.05375269311993564,0.005,919
202609161,10000,15000,0.11096433289299867,0.06142866975695115,0.04953566313604752,0.002,0.05469387890575732,0.005,881
202609161,10000,19900,0.11294964028776978,0.061366618128343015,0.05158302215942677,0.002,0.05554932938071653,0.005,846
202609162,10000,10000,0.10625954198473282,0.06176260918784133,0.04449693279689149,0.002,0.046631631439640955,0.005,918
202609162,10000,12000,0.10610932475884244,0.06166545309268054,0.0444438716661619,0.002,0.045886991226227594,0.005,894
202609162,10000,15000,0.10837272113436867,0.06165132425553335,0.04672139687883532,0.002,0.04583518537997211,0.005,872
202609162,10000,19900,0.10827790096082779,0.061842087723118076,0.04643581323770971,0.002,0.04575352743020349,0.005,834
202609163,10000,10000,0.11382598331346841,0.061725357747676526,0.05210062556579188,0.002,0.05020034618863088,0.005,927
202609163,10000,12000,0.11205808080808081,0.06205846035505354,0.04999962045302728,0.002,0.048482627785391606,0.005,900
202609163,10000,15000,0.114501312335958,0.06212950836055313,0.052371803975404876,0.002,0.048473997283002945,0.005,882
202609163,10000,19900,0.11599423631123919,0.06230400281831675,0.053690233492922436,0.002,0.04749250575644794,0.005,841
202609164,10000,10000,0.10485085869237722,0.06176378064957876,0.04308707804279845,0.002,0.056461881568129896,0.005,922
202609164,10000,12000,0.10522999369880277,0.06173784241450765,0.04349215128429512,0.002,0.05683743227796195,0.005,902
202609164,10000,15000,0.10623324396782842,0.06188852235301703,0.04434472161481139,0.002,0.05778726070028426,0.005,874
202609164,10000,19900,0.10955882352941176,0.06176986325592362,0.04778896027348815,0.002,0.05899903931421815,0.005,835
202609165,10000,10000,0.09980928162746344,0.06147705455411777,0.03833222707334567,0.002,0.04625160129956841,0.005,898
202609165,10000,12000,0.1020006559527714,0.061622753542506466,0.04037790241026493,0.002,0.047798849940090746,0.005,885
202609165,10000,15000,0.10003402517863219,0.06172126491840435,0.03831276026022784,0.002,0.046894903233417856,0.005,869
202609165,10000,19900,0.09794000722804481,0.06199822847719291,0.0359417787508519,0.002,0.045872659284859424,0.005,846
202609166,10000,10000,0.1104468219005664,0.0616834676275143,0.0487633542730521,0.002,0.05117785276287036,0.005,902
202609166,10000,12000,0.1103938024531956,0.06166302909240042,0.04873077336079518,0.002,0.05019935052927647,0.005,890
202609166,10000,15000,0.11118530884808013,0.06165385863546793,0.0495314502126122,0.002,0.050348570901250826,0.005,874
202609166,10000,19900,0.11042944785276074,0.06168309191461234,0.0487463559381484,0.002,0.05011524602442019,0.005,840
202609167,10000,10000,0.11677092642240096,0.06185680864260543,0.054914117779795525,0.002,0.05345164907049397,0.005,928
202609167,10000,12000,0.11604629340006256,0.06196064321323285,0.05408565018682971,0.002,0.053621249821204864,0.005,905
202609167,10000,15000,0.11612475116124751,0.06197930033923189,0.05414545082201563,0.002,0.052595425701833655,0.005,879
202609167,10000,19900,0.11500547645125958,0.06185719375955269,0.05314828269170689,0.002,0.050642038230583365,0.005,837
202609168,10000,10000,0.0989010989010989,0.06186548922019864,0.03703560968090026,0.002,0.05145845221222106,0.005,915
202609168,10000,12000,0.1005765534913517,0.06178917732967537,0.038787376161676324,0.002,0.05303583902858302,0.005,894
202609168,10000,15000,0.09792587555253315,0.062082682876804275,0.03584319267572888,0.002,0.051520779688992394,0.005,867
