seed,initial_uptake_count,initial_frequency,final_frequency,frequency_change,disabled_final_frequency,disabled_frequency_change,enabled_minus_disabled
202609250,8,0.125,0.5447154471544715,0.4197154471544715,0.125,0.0,0.4197154471544715
202609251,8,0.125,0.6339869281045751,0.5089869281045751,0.125,0.0,0.5089869281045751
202609252,8,0.125,0.5590551181102362,0.4340551181102362,0.125,0.0,0.4340551181102362
202609253,8,0.125,0.5971223021582733,0.47212230215827333,0.125,0.0,0.47212230215827333
202609254,8,0.125,0.16417910447761194,0.03917910447761194,0.125,0.0,0.03917910447761194
202609255,8,0.125,0.6241610738255033,0.49916107382550334,0.125,0.0,0.49916107382550334
202609256,8,0.125,0.5725190839694656,0.4475190839694656,0.125,0.0,0.4475190839694656
202609257,8,0.125,0.6111111111111112,0.48611111111111116,0.125,0.0,0.48611111111111116
202609258,8,0.125,0.5333333333333333,0.4083333333333333,0.125,0.0,0.4083333333333333
202609259,8,0.125,0.25333333333333335,0.12833333333333335,0.125,0.0,0.12833333333333335
202609250,32,0.5,0.7217391304347827,0.22173913043478266,0.5,0.0,0.22173913043478266
202609251,32,0.5,0.7398373983739838,0.23983739837398377,0.5,0.0,0.23983739837398377
202609252,32,0.5,0.7593984962406015,0.2593984962406015,0.5,0.0,0.2593984962406015
202609253,32,0.5,0.762962962962963,0.26296296296296295,0.5,0.0,0.26296296296296295
202609254,32,0.5,0.7664233576642335,0.26642335766423353,0.5,0.0,0.26642335766423353
202609255,32,0.5,0.7377049180327869,0.23770491803278693,0.5,0.0,0.23770491803278693
202609256,32,0.5,0.7681159420289855,0.2681159420289855,0.5,0.0,0.2681159420289855
202609257,32,0.5,0.7746478873239436,0.27464788732394363,0.5,0.0,0.27464788732394363
202609258,32,0.5,0.7398373983739838,0.23983739837398377,0.5,0.0,0.23983739837398377
202609259,32,0.5,0.7664233576642335,0.26642335766423353,0.5,0.0,0.26642335766423353
202609250,56,0.875,0.9183673469387755,0.04336734693877553,0.875,0.0,0.04336734693877553
202609251,56,0.875,0.9245283018867925,0.04952830188679247,0.875,0.0,0.04952830188679247
202609252,56,0.875,0.9349593495934959,0.059959349593495914,0.875,0.0,0.059959349593495914
202609253,56,0.875,0.9279279279279279,0.05292792792792789,0.875,0.0,0.05292792792792789
202609254,56,0.875,0.9349593495934959,0.059959349593495914,0.875,0.0,0.059959349593495914
202609255,56,0.875,0.9259259259259259,0.05092592592592593,0.875,0.0,0.05092592592592593
202609256,56,0.875,0.9365079365079365,0.06150793650793651,0.875,0.0,0.06150793650793651
202609257,56,0.875,0.9292035398230089,0.05420353982300885,0.875,0.0,0.05420353982300885
202609258,56,0.875,0.9292035398230089,0.05420353982300885,0.875,0.0,0.05420353982300885
202609259,56,0.875,0.9304347826086956,0.05543478260869561,0.875,0.0,0.05543478260869561
