energy_influx_rate,runs,feasible,max_energy_error,median_active,median_writes,median_occupancy,median_mean_energy,median_dissipated_fraction,starvation_deaths,conserved,invariant_failures,eligible
64.0,3,0,2.2544554667547346e-12,1.0,35194.0,0.779048828125,1.3534411012453198,0.9964012116519855,0,True,0,False
256.0,3,0,5.498238656944664e-12,1.0,151600.0,0.7686875,4.971628238063517,0.9953652006358205,0,True,0,False
1024.0,3,3,1.720600266708061e-11,1.0,159998.0,0.770830078125,4.948810126582137,0.9841601249796493,0,True,0,True
