pool_multiplier,seed,wall_time_s,total_returns,total_reacquisitions,cross_tape_reacquisitions,cross_reacquisition_fraction,flow_edges,cross_flow_density,effective_cross_edges,reciprocal_tape_pairs,reciprocal_pair_fraction,reciprocal_volume_fraction,sampled_events,sampled_cross_events,sampled_tokens_with_three_hops,median_pool_residence_interactions,p95_pool_residence_interactions,overall_blocked_fraction,blocked_epoch_fraction,extreme_epoch_max_interaction_share,extreme_epoch_top_symbol_share,extreme_epoch_budget_exhaustion_fraction,extreme_epoch_modal_top_symbol,max_conservation_residual,token_validation_passed,event_overflow
0.5,1.0,8.985699250052372,2469566.6666666665,2461718.3333333335,1416426.3333333333,0.5932556145324572,65508.333333333336,0.9995761846405228,48489.693771153376,32612.333333333332,0.9991523692810458,0.8435424559549268,37479.0,21919.0,376.6666666666667,98.33333333333333,8732.099999999993,0.12058811239793303,0.8691833333333333,0.8042589355105735,0.9907786942832179,1.0,93.0,0.0,1.0,0.0
2.0,1.0,10.8478443469697,2156452.3333333335,2137050.3333333335,1574410.0,0.7370301391256954,65530.333333333336,0.9999131944444444,48745.126496559045,32634.333333333332,0.9998263888888889,0.8539484407827943,34888.333333333336,25513.666666666668,519.0,135.0,12515.48333333331,0.03337793733104511,0.3133166666666667,0.9782932232380265,0.9991616321434237,1.0,60.0,0.0,1.0,0.0
16.0,1.0,30.980622500025977,5898066.333333333,5865599.666666667,3806127.3333333335,0.6748509416460822,65536.0,1.0,59658.68070692152,32640.0,1.0,0.9140751688664257,90731.33333333333,58604.666666666664,698.0,31.666666666666668,6865.483333333327,0.0016185287266769304,0.045033333333333335,0.5780222904514948,1.0,0.19833333333333333,60.0,0.0,1.0,0.0
