run_dir,population_size,epochs,pool_multiplier,seed,wall_time_s,overall_blocked_fraction,first_100_blocked_fraction,last_100_blocked_fraction,peak_epoch_blocked_fraction,zero_block_epoch_fraction,blocked_fraction_cv,blocked_fraction_lag1,spectral_peak_power_fraction,spectral_peak_period_epochs,top_blocked_symbol,top_blocked_symbol_ascii,top_blocked_symbol_fraction,blocked_symbol_effective_count,instruction_blocked_fraction,initial_pool_entropy,final_pool_entropy,pool_entropy_change,final_pool_jsd,maximum_zero_pool_symbols,maximum_high_order_entropy,final_high_order_entropy,entropy_transition,maximum_dominant_tape_fraction,final_distinct_tapes,active_instruction_fraction_change,cross_tape_copy_success,cross_a_to_b_fraction,recycled_withdrawal_lower_bound,max_conservation_residual,pool_mode,initial_zero_pool_symbols
experiments/phase1_runs/mechanism/p1_m0p1_n256_s0,256,20000,0.1,0,3.9707825840450823,0.24696565638976947,0.22116564351160736,0.21790140520076695,0.973308504034761,0.00015,0.9706384126849789,0.3049705216583461,0.030996565674618125,2000.0,93,],0.06712080569908113,184.17432015298087,0.11532821157874668,7.966138961935702,7.3889549754483905,-0.5771839864873112,0.1532623163424508,46,0.1414531694897549,-0.0153719987190914,False,0.00390625,256,0.00103759765625,422563,0.3813845509426997,0.9993076092469422,0,histogram_matched,0
experiments/phase1_runs/pool_initialization/p1_m0p1_n256_s0_uniform,256,20000,0.1,0,4.252265042159706,0.22517487871252487,0.18108496288697984,0.5427312551092838,0.9453061224489796,0.0002,0.9826069858743854,0.3169988900030446,0.06477314649615747,20000.0,93,],0.029473951209449893,206.47942873249988,0.09263584461811437,7.976486373940571,7.412315326828269,-0.5641710471123025,0.1583884582911926,45,0.0899569047296084,0.0111307892420331,False,0.00390625,256,0.00152587890625,404903,0.4270479596347767,0.9992283778941154,0,uniform,0
experiments/phase1_runs/mechanism/p1_m0p1_n256_s1,256,20000,0.1,1,4.247640667017549,0.3311149505991419,0.4186650643940368,0.2832478700273701,0.9644848840622249,0.00025,0.8584048747805443,0.20071150868386448,0.02125059976065074,2500.0,93,],0.06719284037548946,172.5614031884547,0.14563970204464682,7.966031137726342,7.429390227325273,-0.5366409104010694,0.1423834172182521,48,0.0823835542061184,-0.0125071472067377,False,0.00390625,256,-0.00048828125,404012,0.46680791659653675,0.9992130104060722,0,histogram_matched,0
experiments/phase1_runs/pool_initialization/p1_m0p1_n256_s1_uniform,256,20000,0.1,1,3.7476331659127027,0.31449790488892865,0.40706830949286255,0.2904368292656866,0.9674220963172805,0.00025,0.9125557154939835,0.16304356148974541,0.01567816129154203,2000.0,93,],0.06764827386347522,181.4447160239144,0.13463710746502408,7.977252632845646,7.410834120505985,-0.566418512339661,0.1623416034320706,46,0.0368231260574489,-0.0122892656202733,False,0.00390625,256,0.001953125,361521,0.43599956848979726,0.999171604528562,0,uniform,0
experiments/phase1_runs/mechanism/p1_m0p1_n256_s2,256,20000,0.1,2,3.7524978751316667,0.2563871679140708,0.4909840851759968,0.20776747239890814,0.9730177514792899,5e-05,0.938017319213194,0.2760788426816038,0.0458470236566154,6666.666666666667,93,],0.04172241837986709,187.85216614925346,0.0973186646604805,7.9661951998220255,7.416404895855255,-0.5497903039667706,0.1460723414619351,47,0.0758600801667643,-0.0141634153844076,False,0.00390625,256,0.00103759765625,269221,0.43898135732353716,0.9993878166522112,0,histogram_matched,0
experiments/phase1_runs/pool_initialization/p1_m0p1_n256_s2_uniform,256,20000,0.1,2,3.6635971658397466,0.3176639583426853,0.46832093766594324,0.19887314265051906,0.9736467236467237,5e-05,0.9059155143551046,0.2997944761816537,0.035401985643533196,10000.0,79,O,0.04278574034048243,181.44586519373684,0.0899209478335998,7.972775357277271,7.359845916040716,-0.6129294412365551,0.1771093528882908,42,0.2521418548275358,-0.0132923212215709,False,0.00390625,256,0.0009765625,329643,0.46584335174719316,0.9994687714673708,0,uniform,0
experiments/phase1_runs/mechanism/p1_m0p1_n256_s3,256,20000,0.1,3,3.9280036659911275,0.27134112710508435,0.3458141096110747,0.2257703130883057,0.9683065279091769,0.00015,0.9915833283146919,0.1621608980103039,0.017281383053587656,20000.0,148,,0.06267772000467149,175.04254713616598,0.09684312147416205,7.966816874844007,7.43384256398045,-0.5329743108635565,0.1420248166953097,46,0.1948219914955906,-0.0032002496518348,False,0.00390625,256,-0.00091552734375,414364,0.4630493961830661,0.9991622150277232,0,histogram_matched,0
experiments/phase1_runs/pool_initialization/p1_m0p1_n256_s3_uniform,256,20000,0.1,3,3.9992222080472857,0.3895618639353154,0.40034681220196056,0.35430827662076353,0.9782682512733446,0.00015,0.8835418087617322,0.23450516960450513,0.046512099778032674,6666.666666666667,93,],0.08390005277028328,174.7282008760239,0.14228447679013512,7.978580603758793,7.41081344546983,-0.5677671582889632,0.1529214497281558,47,0.0991013967061391,-0.0131153760391153,False,0.00390625,256,-0.00164794921875,391840,0.4933799510004083,0.9990833352932152,0,uniform,0
experiments/phase1_runs/mechanism/p1_m0p1_n256_s4,256,20000,0.1,4,3.307248790981248,0.40917806035336396,0.7478589371636791,0.28458879715267704,0.9589394650398874,0.0,0.8561134311757931,0.2958539317205291,0.05549591338982773,10000.0,61,=,0.05161156551514409,168.96644935883046,0.11599875197965252,7.9686105510304674,7.418309159502601,-0.5503013915278663,0.1443429545632101,45,0.0833725689183291,-0.0127648087119576,False,0.00390625,256,0.001708984375,423778,0.44690144368041756,0.9992854555101232,0,histogram_matched,0
experiments/phase1_runs/pool_initialization/p1_m0p1_n256_s4_uniform,256,20000,0.1,4,3.4712387919425964,0.4029710481060626,0.7394904458066288,0.14079772290544548,0.9429643527204503,0.0,0.9405190747534633,0.3473082214262122,0.08313675547430828,6666.666666666667,93,],0.08947044105842682,163.10813478175783,0.15309131615832103,7.975272123730689,7.426779106431501,-0.5484930172991884,0.1524510037677685,44,0.1707375310036774,-0.0045217128883905,False,0.00390625,256,0.0003662109375,370267,0.44307486219403835,0.9992039430802304,0,uniform,0
