placement_radius,runs,mechanically_feasible,median_births,attempts,no_parent_blocks,pool_blocks,median_occupancy,conserved,invariant_failures,no_parent_fraction
1,3,3,78.0,237,0,0,0.847623046875,True,0,0.0
8,3,3,78.0,237,0,0,0.847623046875,True,0,0.0
