stop_tick,runs,feasible,median_births,median_depth,median_occupancy,mean_switch_excess,mean_final_excess,positive_final,significant_final,median_retention,mean_final_root,conserved,invariant_failures
0,10,1,365.5,4.0,0.97125634765625,0.045592078257072254,0.0802296804342159,10,10,1.7738723904557223,0.0864088787398837,True,0
10000,10,10,174.0,3.0,0.822827392578125,0.045592078257072254,0.04594469472293675,10,10,0.9990280646002375,0.050285685175827065,True,0
