run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,radius,mutation_rate,primary_snapshot_tick,ordered_unique_fraction,ordered_singleton_tape_fraction,ordered_block2_beta,ordered_block2_beta_null,ordered_block2_beta_excess,ordered_block2_beta_p,presence_block2_beta_excess,presence_block2_beta_p,followup_mechanically_feasible
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.437745Z_031878e12a11_202609050,202609050,1e-05,1e-05,True,0,True,0,797,0.78012890625,0,1.0,738683,34,14,499,True,4900,799,799,0.0,1.0,240.2713586751969,240.27135867519695,-5.684341886080802e-14,1.0,4500,0.006190057793264207,0.001,0.08890832349554678,0.125,1,0.000244140625,4500,0.6978776529338327,0.6054931335830213,113.72010930101395,113.2221520112599,0.49795728975405495,0.093,0.7928448044590439,0.002,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.437872Z_23fc0f7e32fc_202609051,202609051,1e-05,1e-05,True,0,True,0,794,0.776376953125,0,1.0,1149003,39,14,499,True,4900,794,794,0.0,1.0,237.1843491346874,237.18434913468735,5.684341886080802e-14,1.0,4500,0.00517942337498789,0.001,0.04587505150908555,0.269,1,0.000244140625,4500,0.7176913425345044,0.6323713927227101,118.70864631127077,117.60098231870965,1.1076639925611147,0.01,1.189391632404444,0.001,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.437932Z_b886b01475aa_202609052,202609052,1e-05,1e-05,True,0,True,0,784,0.765955078125,0,1.0,1448346,41,6,499,True,4900,784,784,0.0,1.0,236.7704160246528,236.77041602465277,2.842170943040401e-14,1.0,4500,0.005535045354632983,0.001,0.03222944322777899,0.318,1,0.000244140625,4500,0.6942675159235668,0.597452229299363,108.68893719669826,108.70534610802234,-0.016408911324077735,0.491,0.07365069214095143,0.379,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.437883Z_a25e164ea36e_202609053,202609053,1e-05,1e-05,True,0,True,0,794,0.77653515625,0,1.0,1732535,34,10,499,True,4900,794,794,0.0,1.0,239.1638846737476,239.16388467374767,-8.526512829121202e-14,1.0,4500,0.00662303181422914,0.001,0.00126229007814338,0.485,1,0.000244140625,4500,0.7628607277289837,0.6888331242158093,139.07531522537056,139.26926778003258,-0.19395255466201888,0.726,0.36027410432619433,0.08,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.437876Z_96b51088c423_202609054,202609054,1e-05,1e-05,True,0,True,0,790,0.773150390625,0,1.0,1369988,40,12,499,True,4900,792,792,0.0,1.0,237.2405446293491,237.24054462934916,-5.684341886080802e-14,1.0,4500,0.0038555902841617123,0.001,0.11757322321305352,0.074,1,0.000244140625,4500,0.6877370417193426,0.5992414664981036,109.19158175820743,109.67851864464616,-0.4869368864387269,0.926,-0.24510272816826983,0.865,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.437872Z_bfd23641f6ce_202609055,202609055,1e-05,1e-05,True,0,True,0,788,0.7711328125,0,1.0,3147747,41,10,499,True,4900,788,788,0.0,1.0,236.8207475209764,236.82074752097648,-8.526512829121202e-14,1.0,4500,0.004129320179299821,0.001,-0.012256897511914389,0.54,1,0.000244140625,4500,0.7099621689785625,0.6103404791929382,121.29054285323416,120.87397951820049,0.41656333503367193,0.126,0.3777006286362763,0.049,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.437942Z_a485e7d61812_202609056,202609056,1e-05,1e-05,True,0,True,0,800,0.7826328125,0,1.0,1993033,34,15,499,True,4900,800,800,0.0,1.0,237.38872403560796,237.38872403560796,0.0,1.0,4500,0.0061811538937827605,0.001,-0.015041671639201226,0.554,1,0.000244140625,4500,0.7210460772104608,0.635118306351183,121.92552708649889,121.57829756642451,0.3472295200743787,0.186,0.4841621796272406,0.031,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.438014Z_23dce9fb1902_202609057,202609057,1e-05,1e-05,True,0,True,0,789,0.771232421875,0,1.0,2280424,43,13,499,True,4900,789,789,0.0,1.0,236.25085388994304,236.25085388994296,8.526512829121202e-14,1.0,4500,0.006315917476812575,0.001,0.18152116434343846,0.021,1,0.000244140625,4500,0.6902654867256637,0.5967130214917825,112.15393099460017,111.05498068866336,1.0989503059368104,0.009,0.8671040418158071,0.001,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.437907Z_fb191220da9c_202609058,202609058,1e-05,1e-05,True,0,True,0,781,0.7654453125,0,1.0,3007620,42,4,499,True,4900,782,782,0.0,1.0,238.31800467654,238.31800467654008,-8.526512829121202e-14,1.0,4500,0.017123635791467594,0.001,0.012574789618614801,0.422,1,0.000244140625,4500,0.7449238578680203,0.6637055837563451,132.38356709811754,132.31008476047188,0.07348233764565748,0.368,0.3323285213098188,0.076,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.438016Z_8a69dd5360d2_202609059,202609059,1e-05,1e-05,True,0,True,0,789,0.773009765625,0,1.0,2134757,41,11,499,True,4900,791,791,0.0,1.0,237.09018567639274,237.09018567639268,5.684341886080802e-14,1.0,4500,0.006305135626138856,0.001,-0.003855188100995832,0.507,1,0.000244140625,4500,0.7087011349306431,0.6153846153846154,118.6628441025228,118.74823372685813,-0.0853896243353347,0.566,0.6014082662210853,0.012,True
sweeps/phase2_opcode_beta_followup/runs/20260904T221351.935934Z_c36f26965901_202609050,202609050,1e-05,1e-05,True,0,True,0,793,0.77567578125,0,1.0,2697150,36,12,499,True,4900,794,794,0.0,1.0,238.62074186222517,238.62074186222523,-5.684341886080802e-14,1.0,4500,0.0012919295814032648,0.002,-0.04613100427784467,0.778,8,6.103515625e-05,4500,0.9421383647798742,0.9169811320754717,213.92880162189547,214.03836295428073,-0.10956133238525467,1.0,-0.05367687820166367,0.607,True
sweeps/phase2_opcode_beta_followup/runs/20260904T221351.935873Z_a185c4295f98_202609051,202609051,1e-05,1e-05,True,0,True,0,802,0.783810546875,0,1.0,5618866,30,13,499,True,4900,802,802,0.0,1.0,238.22370370370427,238.22370370370433,-5.684341886080802e-14,1.0,4500,0.0010098532554812367,0.016,0.012029326176900668,0.405,8,6.103515625e-05,4500,0.9600997506234414,0.9364089775561097,222.6668576925179,222.73438046940362,-0.06752277688570985,1.0,0.1362423044076948,0.205,True
