epoch,elapsed_seconds,character_reads,byte_entropy,brotli_size,compressed_bpb,high_order_entropy
1,1.8870077920146286,39949981,7.999973611160182,8388751,8.000136375427246,-0.00016276426706429703
129,3.026801500003785,4727204924,7.998481157787422,8192450,7.812929153442383,0.18555200434503938
257,4.179754792014137,9344801709,7.994829846009632,8041019,7.668513298034668,0.32631654797496434
385,5.327258500037715,13973247621,7.988925313677033,7926162,7.558977127075195,0.42994818660183753
513,6.600726749980822,18613635773,7.980318499507336,7845060,7.481632232666016,0.4986862668413208
641,7.912432957906276,23279984201,7.969666817665712,7783972,7.423374176025391,0.5462926416403215
769,9.200651166960597,27979805374,7.95706748953006,7732243,7.374041557312012,0.5830259322180487
897,10.398709249915555,32716222539,7.942927744614472,7685298,7.32927131652832,0.6136564280861521
1025,11.587793916929513,37514110431,7.924790967447885,7640062,7.286130905151367,0.638660062296518
1153,12.79855529195629,42372174971,7.904978249021202,7604890,7.252588272094727,0.6523899769264752
1281,14.022342375013977,47277868852,7.884959680331496,7577697,7.226655006408691,0.6583046739228049
1409,15.270545874955133,52251068908,7.86351001282601,7555533,7.205517768859863,0.657992243966147
1537,16.523677499964833,57301468900,7.838481422838642,7539837,7.190548896789551,0.6479325260490914
1665,17.798493792070076,62450966213,7.812842050671341,7534241,7.185212135314941,0.6276299153563993
1793,19.114258917048573,67718872698,7.786792857706428,7528406,7.179647445678711,0.6071454120277169
1921,20.470361249987036,73145593982,7.757562850834873,7516300,7.168102264404297,0.589460586430576
2049,21.85963329207152,78744127418,7.726635073554988,7501263,7.153761863708496,0.5728732098464917
2177,23.288723167032003,84492716541,7.693872898964174,7491173,7.144139289855957,0.549733609108217
2305,24.783964124973863,90422704387,7.661062249184212,7479059,7.132586479187012,0.5284757699972005
2433,26.279327417025343,96506826646,7.630676060168277,7480821,7.1342668533325195,0.4964092068357573
2561,27.793124082963914,102734877408,7.6051776812357,7483886,7.137189865112305,0.46798781612339546
2689,29.335112124914303,109112644919,7.583397882355113,7495871,7.148619651794434,0.43477823056067955
2817,30.9202529580798,115634880988,7.5585119376199055,7499894,7.152456283569336,0.40605565405056954
2945,32.55126666696742,122279058061,7.5328725188625185,7498269,7.150906562805176,0.38196595605734274
3073,34.20177195803262,129052414088,7.509372284448249,7503123,7.155535697937012,0.35383658651123717
3201,35.85972633305937,135917700897,7.481187343962463,7498437,7.151066780090332,0.3301205638721312
3329,37.55326749989763,142891420392,7.454555795832267,7495755,7.1485090255737305,0.3060467702585363
3457,39.27349083288573,149974894019,7.425400112928031,7485544,7.138771057128906,0.2866290557991249
3585,41.0250302918721,157191115378,7.3928902730415205,7471927,7.125784873962402,0.2671053990791181
3713,42.783318042056635,164523881325,7.362531365051762,7459204,7.113651275634766,0.24888008941699624
3841,44.60006054188125,171992124454,7.329574909908784,7442017,7.097260475158691,0.2323144347500925
3969,46.42851549992338,179592214775,7.294709245118983,7422501,7.078648567199707,0.21606067791927597
4097,48.270211125025526,187302727852,7.268093508023404,7410550,7.067251205444336,0.2008423025790682
