pool_multiplier,run_dir,pool_total,pool_entropy_initial,pool_entropy_final,pool_entropy_change,depleted_symbols_initial,depleted_symbols_final,blocked_rate_overall,blocked_rate_first_100,blocked_rate_last_100,blocked_rate_peak,blocked_rate_lag1_autocorrelation,blocked_count_cv,execution_writes_success,execution_writes_blocked,mutation_writes_success,mutation_writes_blocked,changed_interaction_fraction,exact_replication_events,minimum_distinct_hashes,final_distinct_hashes,maximum_exact_hash_abundance,maximum_high_order_entropy,all_conservation_snapshots_pass,maximum_conservation_residual
0.1,sweeps/p1_pool_multiplier_pilot/runs/20260809T013333.109519Z_c62501dd5a98_1,1637,7.939099533328164,7.423896553857339,-0.5152029794708257,5,31,0.3078505089859708,0.6303210931044047,0.20707249851348306,0.963932107496464,0.32294230595633994,1.8245622406968989,7255096,3248631,70536,9624,0.3396015625,0,256,256,1,0.02000507042685218,True,0
0.5,sweeps/p1_pool_multiplier_pilot/runs/20260809T013819.464208Z_c16cdc9ecab2_1,8190,7.981869011298752,7.8061551354104495,-0.17571387588830234,1,4,0.14945640539292793,0.34842779812959157,0.016208711161813216,0.9465613382899628,0.2886968121262118,3.2833174730962194,7052578,1252095,79088,1072,0.302890234375,0,256,256,1,0.17692494889448973,True,0
2.0,sweeps/p1_pool_multiplier_pilot/runs/20260809T014352.303548Z_922302c93fbf_1,32768,7.988240062927604,7.925356567752764,-0.06288349517484004,0,1,0.030457011541116675,0.007766987285139641,0.008216455390957104,0.8827192527244422,0.14689692448405792,5.847641878289345,7453461,236511,80016,144,0.372265625,0,254,256,2,0.6353076752485727,True,0
16.0,sweeps/p1_pool_multiplier_pilot/runs/20260809T014903.463088Z_7efe4cc8c1ca_1,262144,7.988926897199379,7.981748062071944,-0.007178835127435335,0,0,0.0012036716985090324,0.0,0.0,0.8463713477851084,0.021808512261547258,54.53503136175645,14107613,17097,80159,1,0.572849609375,0,255,256,2,0.36032854749106136,True,0
