radius,runs,feasible,conserved,invariant_failures,median_occupancy,mean_pooled_js,mean_pooled_null,mean_pooled_excess,median_pooled_p,mean_early_excess,mean_final_excess,positive_final_snapshots
1,10,10,True,0,0.60802255859375,0.9422894055082424,0.936154765998762,0.006134639509480333,0.001,0.003446310128911375,0.006150565677965277,10.0
8,10,10,True,0,0.6121818359375,0.9248463473320564,0.9240359164713867,0.000810430860669642,0.0125,0.0006467504293313375,0.0007921698739763349,7.5
