run_dir,seed,field_spec,correlation_length,successful_exit,invariant_failures,final_tapes,unchanged_tape_type,active_ticks,uptake_executions,gross_uptake,uptake_moran,uptake_cv,tape_energy_moran,profile_moran,profile_cv,profile_min,profile_sum,max_relative_energy_error
sweeps/stage4_structured_field/runs/patches_0.5_seed_202609230,202609230,patches,0.5,True,0,128,True,1000,204958,12725.78875350251,0.6666547315439796,0.5274267931319985,0.38371050435145326,0.33747007673659396,1.0864569923394518,0.04318799550691891,256.0,2.8234134303603636e-13
sweeps/stage4_structured_field/runs/patches_0.5_seed_202609231,202609231,patches,0.5,True,0,128,True,1000,208265,13066.994672888966,0.4317666445993573,0.48202990259260436,0.2839005651673259,0.35052690895369293,1.073362315936016,0.03659116700397166,256.0,3.7861472382364016e-13
sweeps/stage4_structured_field/runs/patches_0.5_seed_202609232,202609232,patches,0.5,True,0,128,True,1000,202448,12307.3263860483,0.6840871745252853,0.5595808884297162,0.46692252143914426,0.406827907178175,1.4416225526170394,0.04987491893251838,256.0,2.5204371922882275e-13
sweeps/stage4_structured_field/runs/patches_0.5_seed_202609233,202609233,patches,0.5,True,0,128,True,1000,199509,12029.745859819068,0.5762867846206994,0.5769395471217276,0.4324024893974848,0.276022808087222,1.1864897532580636,0.051316722963389835,256.0,2.471198990557224e-13
sweeps/stage4_structured_field/runs/patches_0.5_seed_202609234,202609234,patches,0.5,True,0,128,True,1000,205599,12758.970179117243,0.5698334184646618,0.49451012062000255,0.33938022069200385,0.20570653408647768,1.7538892426120491,0.024185013683091706,256.0,3.5410071352916276e-13
sweeps/stage4_structured_field/runs/patches_2_seed_202609230,202609230,patches,2.0,True,0,128,True,1000,189654,10809.28867132914,0.8481386624744635,0.6870260088859467,0.693612506861624,0.8967434944005838,1.16710373613202,0.04907378405756288,256.0,1.3897202573779888e-13
sweeps/stage4_structured_field/runs/patches_2_seed_202609231,202609231,patches,2.0,True,0,128,True,1000,195780,11491.700893679803,0.8244801794993167,0.5941116042280985,0.8017401169939361,0.895437869917595,1.119371824799316,0.05497822041198172,256.0,2.119702009693225e-13
sweeps/stage4_structured_field/runs/patches_2_seed_202609232,202609232,patches,2.0,True,0,128,True,1000,192181,11021.108037245167,0.8597247796109592,0.6691353749604907,0.6741985571538409,0.8783127033624324,1.146057843255798,0.05106395885264268,256.0,2.0975221559638157e-13
sweeps/stage4_structured_field/runs/patches_2_seed_202609233,202609233,patches,2.0,True,0,128,True,1000,177373,9175.38246939454,0.781474694121019,0.7819125198492168,0.638173903126301,0.9098283592414276,1.418793865525385,0.09718676644810505,256.0,6.9408806187934e-14
sweeps/stage4_structured_field/runs/patches_2_seed_202609234,202609234,patches,2.0,True,0,128,True,1000,194041,11261.584409617295,0.8398377189228515,0.6334500209705468,0.7038944518572637,0.8528564886178057,1.4554090064535623,0.058885008003441756,256.0,1.7275544379761583e-13
sweeps/stage4_structured_field/runs/patches_8_seed_202609230,202609230,patches,8.0,True,0,128,True,1000,190078,10901.093870304698,0.8874513466269093,0.698342381013189,0.6982061472605553,0.9478532062359271,1.012177394239802,0.08652433022344201,256.0,1.4575825099192024e-13
sweeps/stage4_structured_field/runs/patches_8_seed_202609231,202609231,patches,8.0,True,0,128,True,1000,192934,11265.02196640235,0.8657098685291078,0.6624763673775083,0.7232743088592474,0.9479997080981185,1.0061575296540604,0.08613238306868297,256.0,1.7337242752546444e-13
sweeps/stage4_structured_field/runs/patches_8_seed_202609232,202609232,patches,8.0,True,0,128,True,1000,191666,11298.80788432236,0.8967410620451917,0.7159157866033582,0.6281996198241192,0.9491791323030391,0.9175478392485027,0.10587897474282669,256.0,1.480760946836707e-13
sweeps/stage4_structured_field/runs/patches_8_seed_202609233,202609233,patches,8.0,True,0,128,True,1000,185934,10350.51565804476,0.7899003735749643,0.7189532908724631,0.628366060626118,0.9478776807458208,1.00386763075503,0.08761342288289514,256.0,1.0653172206081502e-13
sweeps/stage4_structured_field/runs/patches_8_seed_202609234,202609234,patches,8.0,True,0,128,True,1000,196680,12049.10846405093,0.9278298569808857,0.6704434496681607,0.7161392939475055,0.9494542262015647,0.8879444780896434,0.12139960374281088,256.0,2.142481968430455e-13
sweeps/stage4_structured_field/runs/uniform_seed_202609230,202609230,uniform,,True,0,128,True,1000,220852,13727.188146863251,0.35970753701416486,0.24603888430092258,0.05837326799536185,0.0,0.0,1.0,256.0,3.4316193345545095e-13
sweeps/stage4_structured_field/runs/uniform_seed_202609231,202609231,uniform,,True,0,128,True,1000,221829,13698.644585418804,0.5223543849814816,0.22200435515783076,0.04388664516462502,0.0,0.0,1.0,256.0,3.227569322916679e-13
sweeps/stage4_structured_field/runs/uniform_seed_202609232,202609232,uniform,,True,0,128,True,1000,219742,13661.47917670977,0.35805802365460215,0.25877586693264315,0.02617313973189937,0.0,0.0,1.0,256.0,3.573503105538171e-13
sweeps/stage4_structured_field/runs/uniform_seed_202609233,202609233,uniform,,True,0,128,True,1000,220776,13660.951962881716,0.35714239172165957,0.2546234020801148,0.04677700490787591,0.0,0.0,1.0,256.0,3.3308648647094717e-13
sweeps/stage4_structured_field/runs/uniform_seed_202609234,202609234,uniform,,True,0,128,True,1000,222957,13784.113717569027,0.37110342972397065,0.20452352295739099,0.039948209396707596,0.0,0.0,1.0,256.0,3.1689519500179926e-13
