run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,energy_influx_rate,max_relative_energy_error,final_field_energy,final_tape_energy,final_mean_tape_energy,final_dissipated_energy,final_cumulative_influx,dissipated_fraction,starvation_deaths,energy_feasible,birth_energy_cost,births,blocked_energy,blocked_pool,max_lineage_depth,birth_mechanical_feasible
sweeps/stage3_energy_birth/runs/20260907T033753.341757Z_928e103228c2_202609150,202609150,1e-05,1e-05,True,0,True,0,813,0.804419921875,0,1.0,172653,47,14,499,True,4900,825,824,0.00037397157816005983,0.05,239.67628483954408,239.67628483954405,2.842170943040401e-14,1.0,4000,0.005694414203994377,0.05,0.10940422188337351,0.2,1024.0,1.6616650100331753e-11,76032.9859337277,4262.769999999892,5.160738498789216,5039704.243981196,5120000.0,0.9843172351525773,0,True,5.0,40,57,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033753.344452Z_18268d909287_202609151,202609151,1e-05,1e-05,True,0,True,0,806,0.794568359375,0,1.0,152329,44,12,499,True,4900,817,816,0.00038095238095238096,0.05,239.26655578805466,239.09485391809554,0.17170186995912218,0.05,4000,0.004023101921144895,0.05,-0.041814639382442564,0.65,1024.0,1.8538594304118307e-11,78132.30402866197,4579.409999999925,5.612022058823438,5037288.28587642,5120000.0,0.9838453683352384,0,True,5.0,29,47,0,1,True
sweeps/stage3_energy_birth/runs/20260907T033753.344266Z_77fdf8c3e335_202609152,202609152,1e-05,1e-05,True,0,True,0,818,0.809671875,0,1.0,164482,40,12,499,True,4900,830,830,0.0,1.0,242.05903021785014,242.05903021785008,5.684341886080802e-14,1.0,4000,0.006658263649778653,0.05,0.14768011050078478,0.05,1024.0,1.9298568076919765e-11,78112.97984950931,4636.809999999959,5.5932569360675,5037250.210051682,5120000.0,0.9838379316507191,0,True,5.0,38,39,0,1,True
sweeps/stage3_energy_birth/runs/20260907T033753.343564Z_e4dc08064a6e_202609153,202609153,1e-05,1e-05,True,0,True,0,814,0.812357421875,0,1.0,153561,36,14,499,True,4900,834,833,0.00036900369003690036,0.05,241.84079532001707,241.44672839939568,0.39406692062138404,0.05,4000,0.006583228944432484,0.05,0.11416386084942509,0.1,1024.0,1.6981903172563762e-11,76819.73138462793,4481.559999999968,5.373573141486772,5038698.708528425,5120000.0,0.9841208415094579,0,True,5.0,37,50,0,1,True
sweeps/stage3_energy_birth/runs/20260907T033753.343791Z_1c90842a1d65_202609154,202609154,1e-05,1e-05,True,0,True,0,816,0.803490234375,0,1.0,160090,49,12,499,True,4900,822,822,0.0,1.0,240.2859174964432,240.2859174964432,0.0,1.0,4000,0.007338624026433798,0.05,0.0955853976239176,0.2,1024.0,1.7838465282693507e-11,77111.73430420824,4378.209999999945,5.332777101096156,5038510.055604459,5120000.0,0.9840839952352458,0,True,5.0,39,61,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033753.344063Z_e8b9a52b3893_202609155,202609155,1e-05,1e-05,True,0,True,0,808,0.793244140625,0,1.0,153603,47,13,499,True,4900,811,811,0.0,1.0,240.65898280278202,240.658982802782,2.842170943040401e-14,1.0,4000,0.005120101378833484,0.05,-0.09646967380655092,0.85,1024.0,1.6636113286949693e-11,76093.01164625165,4025.3199999999224,4.963403205918524,5039881.668268572,5120000.0,0.9843518883337053,0,True,5.0,26,53,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033753.344176Z_43dfadde517a_202609156,202609156,1e-05,1e-05,True,0,True,0,814,0.803833984375,0,1.0,160354,47,8,499,True,4900,825,824,0.0003748125937031484,0.05,240.35453396537227,240.35453396537224,2.842170943040401e-14,1.0,4000,0.007080185611366821,0.05,0.047100559216174176,0.2,1024.0,1.719727151794359e-11,77157.6084076998,4372.989999999919,5.294176755447844,5038469.40150425,5120000.0,0.9840760549812989,0,True,5.0,46,43,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033753.344301Z_55564aea12de_202609157,202609157,1e-05,1e-05,True,0,True,0,817,0.804234375,0,1.0,172394,43,8,499,True,4900,822,822,0.0,1.0,240.79971489664942,240.79971489664945,-2.842170943040401e-14,1.0,4000,0.005285368976950108,0.05,-0.01210068488857452,0.55,1024.0,1.5874138625804336e-11,75618.89322641832,4186.22999999993,5.098940316686883,5040194.876692306,5120000.0,0.984413061853966,0,True,5.0,37,34,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033753.344661Z_b07d47763bb9_202609158,202609158,1e-05,1e-05,True,0,True,0,814,0.808587890625,0,1.0,157633,41,9,499,True,4900,829,828,0.0003729951510630362,0.05,242.635388340104,242.34995490825133,0.2854334318526526,0.05,4000,0.006265002667140824,0.05,0.1246728221431983,0.1,1024.0,1.8713762983679772e-11,78579.50533391097,4730.489999999942,5.699385542168605,5036690.004570275,5120000.0,0.9837285165176317,0,True,5.0,43,42,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033753.344797Z_5027a997dd90_202609159,202609159,1e-05,1e-05,True,0,True,0,803,0.789009765625,0,1.0,144668,44,7,499,True,4900,809,809,0.0,1.0,240.70650974622933,240.70650974622933,0.0,1.0,4000,0.005123045908265963,0.05,0.006233922552647542,0.45,1024.0,1.945390977198258e-11,77379.11844540943,4309.539999999916,5.326996291718067,5038311.3414549865,5120000.0,0.984045183877927,0,True,5.0,27,47,0,1,True
