epoch,elapsed_seconds,character_reads,byte_entropy,brotli_size,compressed_bpb,high_order_entropy
1,2.018478250131011,40070471,7.999973523839286,8388713,8.000100135803223,-0.00012661196393626284
129,3.185124959098175,4560816480,7.999409670367542,8376434,7.98838996887207,0.011019701495471601
257,4.290299375075847,8654052920,7.9989796980694505,8375512,7.987510681152344,0.011469016917106778
385,5.401786750182509,12674443063,7.998679739928355,8377066,7.988992691040039,0.009687048888316063
513,6.513600875157863,16714174719,7.998547080240126,8376187,7.988154411315918,0.010392668924207982
641,7.6156207921449095,20776701711,7.99851060589347,8377421,7.989331245422363,0.00917936047110679
769,8.70609087496996,24869217008,7.998468288949054,8377359,7.989272117614746,0.009196171334307834
897,9.797967083984986,28899148456,7.998414064854675,8376330,7.988290786743164,0.010123278111510814
1025,10.878903709119186,32905346721,7.998420988832737,8377134,7.989057540893555,0.009363447939182201
1153,12.00811087503098,36949791740,7.99838795177193,8375878,7.987859725952148,0.010528225819781412
1281,13.088314125081524,40980519918,7.998437306491916,8374578,7.98661994934082,0.011817357151095997
1409,14.185629958985373,44999921669,7.998470958701099,8374841,7.986870765686035,0.011600193015063986
1537,15.27292100014165,49027850850,7.998489878264037,8377216,7.9891357421875,0.00935413607653679
1665,16.33944704197347,53020213683,7.998436405186684,8376017,7.987992286682129,0.010444118504555178
1793,17.430527334101498,57057439894,7.998501948027023,8378245,7.990117073059082,0.008384874967941158
1921,18.518868167186156,61140766852,7.998408951912216,8376025,7.98799991607666,0.010409035835555969
2049,19.60427970904857,65177860314,7.998402077432983,8375784,7.987770080566406,0.010631996866576898
2177,20.68982854206115,69195391388,7.998410963599277,8376918,7.988851547241211,0.009559416358065675
2305,21.779914875049144,73249110642,7.998465304764952,8378111,7.989989280700684,0.008476024064268728
2433,22.86065133404918,77249693196,7.9984316383469976,8376048,7.9880218505859375,0.010409787761060052
2561,23.93535058409907,81304371288,7.9985193434130855,8377233,7.989151954650879,0.009367388762206552
2689,25.019694125046954,85344232760,7.998488827481615,8377755,7.989649772644043,0.008839054837571858
2817,26.089431750122458,89339897972,7.998311259853516,8377420,7.989330291748047,0.00898096810546889
2945,27.163713792106137,93356674054,7.998558257546641,8378160,7.9900360107421875,0.00852224680445346
3073,28.255734500009567,97398198907,7.998506836378587,8375476,7.987476348876953,0.011030487501633601
3201,29.338173374999315,101449557615,7.998420831057777,8378671,7.990523338317871,0.007897492739905587
3329,30.42215025005862,105474470023,7.998282146060827,8375474,7.98747444152832,0.01080770453250679
3457,31.517073458991945,109526561655,7.998317799658072,8377823,7.989714622497559,0.00860317716051373
3585,32.602126917103305,113577815700,7.998430450291854,8375603,7.987597465515137,0.01083298477671768
3713,33.67303091706708,117574316690,7.9984132213327666,8377506,7.989412307739258,0.009000913593508741
3841,34.74712625006214,121565135741,7.998445663811125,8376262,7.988225936889648,0.01021972692147699
3969,35.82409220910631,125573581927,7.998471399933328,8374736,7.9867706298828125,0.011700770050515175
4097,36.898050209041685,129573121982,7.998310104576995,8373468,7.985561370849609,0.01274873372738572
4225,37.97648591711186,133587209108,7.998518251103629,8376630,7.988576889038086,0.009941362065543302
4353,39.05228904215619,137573160629,7.998511296867067,8377280,7.98919677734375,0.009314519523316633
