run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,radius,primary_snapshot_tick,opcode_js_similarity,opcode_js_null_mean,opcode_js_excess,opcode_js_p,opcode_js_edges,ordered_unique_fraction,ordered_singleton_tape_fraction,js_mechanically_feasible
sweeps/phase2_opcode_js_followup/runs/20260905T063730.428529Z_3959f0f7bf83_202609060,202609060,1e-05,1e-05,True,0,True,0,786,0.7696171875,0,1.0,2606177,41,8,499,True,4900,788,788,0.0,1.0,241.42457231726297,241.42457231726303,-5.684341886080802e-14,1.0,4500,0.0013742025366488327,0.005,0.028696668298486827,0.34,8,4500,0.9199206415573158,0.9195072182661033,0.0004134232912125224,0.366,2441,0.900126422250316,0.8571428571428571,True
sweeps/phase2_opcode_js_followup/runs/20260905T063730.428519Z_2944c5f5abe2_202609061,202609061,1e-05,1e-05,True,0,True,0,784,0.76773046875,0,1.0,2033524,41,6,499,True,4900,785,785,0.0,1.0,236.0111068556096,236.01110685560965,-5.684341886080802e-14,1.0,4500,0.0014878068017560118,0.005,0.11506778601041923,0.06,8,4500,0.9343993400773846,0.9335716997014694,0.0008276403759152062,0.141,2437,0.8883248730964467,0.8413705583756346,True
sweeps/phase2_opcode_js_followup/runs/20260905T063730.428609Z_44615974a6a7_202609062,202609062,1e-05,1e-05,True,0,True,0,783,0.76568359375,0,1.0,1478530,48,13,499,True,4900,784,784,0.0,1.0,238.97978227060594,238.97978227060597,-2.842170943040401e-14,1.0,4500,0.0020498884867955047,0.005,0.07235379731588054,0.065,8,4500,0.9281071043347109,0.9259770662919301,0.0021300380427807797,0.007,2412,0.9389312977099237,0.9033078880407125,True
sweeps/phase2_opcode_js_followup/runs/20260905T063730.428598Z_09f774bceaff_202609063,202609063,1e-05,1e-05,True,0,True,0,792,0.776125,0,1.0,5646929,31,5,499,True,4900,793,793,0.0,1.0,239.7441860465112,239.74418604651117,2.842170943040401e-14,1.0,4500,0.0015691160098312406,0.005,0.12802935252227954,0.065,8,4500,0.932699846973162,0.9321557165524443,0.0005441304207176589,0.233,2478,0.8634085213032582,0.8157894736842105,True
sweeps/phase2_opcode_js_followup/runs/20260905T063730.428618Z_5db5ecccfbc4_202609064,202609064,1e-05,1e-05,True,0,True,0,787,0.769376953125,0,1.0,3609747,43,11,499,True,4900,787,787,0.0,1.0,238.31050404001448,238.3105040400145,-2.842170943040401e-14,1.0,4500,0.0009063688722759939,0.015,-0.008780167866232702,0.575,8,4500,0.9292740990255625,0.9285743537131694,0.0006997453123930297,0.184,2436,0.9089759797724399,0.8710493046776233,True
sweeps/phase2_opcode_js_followup/runs/20260905T063730.428620Z_8be62a9cefbe_202609065,202609065,1e-05,1e-05,True,0,True,0,778,0.76014453125,0,1.0,2164671,50,9,499,True,4900,778,778,0.0,1.0,237.55259026687645,237.5525902668765,-5.684341886080802e-14,1.0,4500,0.0027912836863643094,0.005,-0.04307070540592939,0.775,8,4500,0.9254113301233732,0.9248460821328284,0.0005652479905448038,0.287,2370,0.9125964010282777,0.8727506426735219,True
sweeps/phase2_opcode_js_followup/runs/20260905T063730.428651Z_81cf8b0df85d_202609066,202609066,1e-05,1e-05,True,0,True,0,792,0.775021484375,0,1.0,2519409,40,14,499,True,4900,792,792,0.0,1.0,238.32218844984774,238.32218844984774,0.0,1.0,4500,0.000551595599553683,0.025,-0.004064785290513129,0.52,8,4500,0.9251515963254661,0.9239381903305899,0.0012134059948761822,0.08,2468,0.924433249370277,0.889168765743073,True
sweeps/phase2_opcode_js_followup/runs/20260905T063730.428756Z_cab85dc631a1_202609067,202609067,1e-05,1e-05,True,0,True,0,789,0.7723359375,0,1.0,2862163,43,13,499,True,4900,790,790,0.0,1.0,236.94001518602784,236.94001518602778,5.684341886080802e-14,1.0,4500,0.0010211430681625767,0.01,0.0464473281942368,0.13,8,4500,0.9174361145421882,0.9159640482973355,0.0014720662448527433,0.056,2463,0.9697732997481109,0.9483627204030227,True
sweeps/phase2_opcode_js_followup/runs/20260905T063730.428759Z_44f3222f4e72_202609068,202609068,1e-05,1e-05,True,0,True,0,800,0.783341796875,0,1.0,2167446,32,14,499,True,4900,801,801,0.0,1.0,238.60208255857222,238.60208255857228,-5.684341886080802e-14,1.0,4500,0.0018068665958249717,0.005,0.04004123135478288,0.22,8,4500,0.9219627123515824,0.9208420060965573,0.001120706255025139,0.109,2530,0.9502487562189055,0.927860696517413,True
sweeps/phase2_opcode_js_followup/runs/20260905T063730.428675Z_6a79f4196585_202609069,202609069,1e-05,1e-05,True,0,True,0,793,0.78001953125,0,1.0,2265696,38,12,499,True,4900,798,798,0.0,1.0,237.08265078183138,237.08265078183143,-5.684341886080802e-14,1.0,4500,0.00170112093204116,0.005,-0.09967768055417814,0.975,8,4500,0.9204531425260047,0.9196830997892449,0.0007700427367598461,0.18,2520,0.9440298507462687,0.917910447761194,True
