metric,observed,null_mean,excess,p_value,snapshots,permutations
neighbor_byte_identity,0.009658238833159473,0.00517750743341776,0.004480731399741714,0.001,10,999
opcode_q1_block_beta,10.110813584507344,10.072279520435838,0.038534064071505725,0.127,10,999
