epoch,elapsed_seconds,character_reads,byte_entropy,brotli_size,compressed_bpb,high_order_entropy
1,1.9680015419144183,39945079,7.999973652654976,8388751,8.000136375427246,-0.00016272277227002974
129,3.147694667102769,4708054272,7.998566862681157,8210159,7.829817771911621,0.16874909076953593
257,4.29717104206793,9247826258,7.9951732460997675,8100466,7.72520637512207,0.2699668709776972
385,5.424622042104602,13722479792,7.989685883867542,8032467,7.660357475280762,0.3293284085867807
513,6.549619416939095,18159073217,7.982214624577809,7990712,7.620536804199219,0.3616778203785902
641,7.6744539169594646,22562285127,7.973280110421065,7969538,7.600343704223633,0.3729364061974323
769,8.79066766705364,26938737788,7.961500715196218,7958831,7.590132713317871,0.37136800187834673
897,9.915075750090182,31289593413,7.949012145599237,7951909,7.583531379699707,0.36548076589953027
1025,11.050921374931931,35685040224,7.935426474548593,7938654,7.570890426635742,0.36453604791285077
1153,12.218797417124733,40103698801,7.921092133553568,7942945,7.574982643127441,0.3461094904261266
1281,13.37836195807904,44559376298,7.906040566560092,7943969,7.575959205627441,0.3300813609326507
1409,14.554628750076517,49057185775,7.889143128509177,7935136,7.567535400390625,0.3216077281185523
1537,15.749211207963526,53590591586,7.87278012801783,7929789,7.562436103820801,0.310344024197029
1665,17.051447124918923,58130278015,7.856577299641361,7927240,7.560005187988281,0.29657211165307995
1793,18.30573658295907,62719639069,7.840813591434107,7921478,7.554510116577148,0.2863034748569584
1921,19.57505645812489,67387534271,7.825320013464342,7913651,7.547045707702637,0.2782743057617054
2049,20.843813250074163,72109183031,7.808503622313928,7911790,7.545270919799805,0.2632327025141237
2177,22.14872495806776,76892899391,7.792149539285022,7900584,7.534584045410156,0.25756549387486594
2305,23.468866042094305,81793756032,7.7750737022035565,7893387,7.5277204513549805,0.24735325084857607
2433,24.865486208116636,87001275232,6.198711480335387,4583222,4.370901107788086,1.827810372547301
2561,26.554936999920756,94149162307,5.89604958676529,5425278,5.173948287963867,0.722101298801423
2689,28.477397667011246,102447392815,5.981041438502357,5798850,5.530214309692383,0.45082712880997455
2817,30.7731366250664,113329994995,5.637002642895553,3254083,3.103335380554199,2.5336672623413534
2945,39.53191933291964,168869615267,5.396012562971503,1334121,1.2723169326782227,4.12369563029328
3073,49.36565558309667,232175910660,5.512941233131926,1428223,1.3620595932006836,4.150881639931242
3201,59.05068129207939,294868978474,5.649197141182979,1454234,1.3868656158447266,4.2623315253382525
3329,69.13973774993792,357023704416,5.7737409341382255,1468840,1.4007949829101562,4.372945951228069
3457,78.70324083301239,417785051916,5.894016674082582,1461126,1.3934383392333984,4.500578334849184
3585,88.02197537501343,476742723089,5.997185021971978,1452374,1.385091781616211,4.612093240355767
3713,96.6985548750963,533884056745,6.096392605900263,1484275,1.4155149459838867,4.680877659916376
3841,105.52453066711314,590653415820,6.184996667700348,1475079,1.4067449569702148,4.778251710730133
3969,114.4311346670147,647643763876,6.25241900845692,1472799,1.4045705795288086,4.847848428928112
4097,123.05759816709906,704867742983,6.333909073836882,1467720,1.3997268676757812,4.9341822061611005
4225,131.68348866701126,760753172514,6.3975122027657365,1478227,1.4097471237182617,4.987765079047475
4353,139.9696582921315,815542713622,6.466876691445509,1496750,1.4274120330810547,5.039464658364454
4481,148.50110216694884,870660392978,6.5282599282185405,1513233,1.443131446838379,5.085128481380162
4609,157.05733141698875,925304091061,6.590474480826188,1522665,1.4521265029907227,5.1383479778354655
4737,165.62818120792508,981004768201,6.653734217627379,1527497,1.4567346572875977,5.196999560339782
4865,174.22457683295943,1037278233970,6.68994783760318,1509735,1.4397954940795898,5.25015234352359
4993,182.65881120809354,1093219307154,6.72768493877057,1511400,1.4413833618164062,5.2863015769541635
5121,191.15266112494282,1148954622665,6.765859860409835,1503234,1.4335956573486328,5.332264203061202
5249,199.60128012509085,1204351724606,6.817486407001297,1496592,1.4272613525390625,5.390225054462235
5377,208.28101695794612,1260197365695,6.851989136607599,1512205,1.4421510696411133,5.409838066966485
5505,216.979703332996,1315440124076,6.875904311809495,1517677,1.4473695755004883,5.428534736309007
5633,225.42438904196024,1370573965480,6.9076699809922655,1524977,1.454331398010254,5.453338582982012
5761,233.97592258290388,1425461718265,6.9427795590379535,1533906,1.4628467559814453,5.479932803056508
5889,242.63273529196158,1480370987534,6.964204024821806,1532346,1.4613590240478516,5.502845000773954
6017,251.18194870790467,1534876185004,6.975949557796689,1546466,1.4748249053955078,5.501124652401181
6145,259.6420523331035,1588914521960,6.9971464998767114,1520488,1.4500503540039062,5.547096145872805
6273,268.3396858749911,1643058712560,7.031398943501669,1539369,1.4680566787719727,5.563342264729696
6401,276.7506116249133,1697425654735,7.069311254306955,1538991,1.467696189880371,5.601615064426584
6529,285.219637125032,1751270513226,7.092844239030264,1530096,1.4592132568359375,5.633630982194327
6657,293.374771917006,1804791208938,7.12514971885492,1531555,1.4606046676635742,5.664545051191346
6785,301.42043679207563,1858554617240,7.13795365970535,1540397,1.4690370559692383,5.668916603736112
6913,309.49973675003275,1911727805991,7.156873432433254,1515598,1.4453868865966797,5.711486545836574
7041,317.4260562499985,1964532045679,7.164117856979468,1530460,1.4595603942871094,5.7045574626923585
7169,325.340330875013,2015934642070,7.188302351168094,1518011,1.447688102722168,5.740614248445926
7297,333.3878576250281,2068797474605,7.211042248033899,1545244,1.4736595153808594,5.73738273265304
7425,341.297029041918,2121199301236,7.218137230827711,1541214,1.4698162078857422,5.748321022941969
7553,349.0075624580495,2172186862191,7.219216332356566,1564942,1.4924449920654297,5.726771340291136
7681,356.78310116706416,2223770082077,7.24033741404798,1540076,1.4687309265136719,5.771606487534308
7809,364.7235947079025,2275352914818,7.251779582496674,1537124,1.4659156799316406,5.785863902565033
7937,372.5330807499122,2326269477578,7.252859687330266,1534061,1.4629945755004883,5.789865111829778
8065,380.2478117919527,2376749879246,7.271868248897222,1532137,1.4611597061157227,5.8107085427815
8193,388.0481993330177,2427307388933,7.2698257513941105,1527551,1.4567861557006836,5.813039595693427
8321,395.63917933311313,2476860236787,7.265270395057398,1520059,1.449641227722168,5.81562916733523
8449,403.40234558307566,2526340994016,7.279791197127703,1528237,1.4574403762817383,5.822350820845965
8577,411.10301804193296,2576085425445,7.293494557363591,1521788,1.4512901306152344,5.842204426748356
8705,418.9593553331215,2626986974455,7.316145423280828,1520554,1.450113296508789,5.866032126772039
8833,426.77618449996226,2677947100548,7.325543513111206,1527349,1.4565935134887695,5.868949999622436
8961,434.55603100010194,2728865370264,7.344790861848347,1536452,1.4652748107910156,5.879516051057331
9089,442.4739859579131,2780060854934,7.343518036909245,1528143,1.457350730895996,5.886167306013249
9217,450.3881938329432,2831307938558,7.354161735618288,1531540,1.4605903625488281,5.893571373069459
9345,458.1682603331283,2883073465480,7.3510811393121145,1517212,1.4469261169433594,5.904155022368755
9473,465.88118724990636,2933829706800,7.36171722850589,1528532,1.4577217102050781,5.903995518300812
9601,473.76326491707005,2985661101835,7.373863381821973,1541784,1.4703598022460938,5.9035035795758795
9729,481.83187220804393,3037674299089,7.372947889737116,1520752,1.4503021240234375,5.922645765713678
9857,489.77486837492324,3089862968997,7.3968231831846545,1536158,1.4649944305419922,5.931828752642662
9985,497.65513058309443,3142504309274,7.3941616890410895,1525609,1.4549341201782227,5.939227568862867
10113,505.73620729194954,3195541020225,7.401381342038295,1514014,1.4438762664794922,5.957505075558803
10241,513.7724184580147,3248221075547,7.392888861446604,1534892,1.4637870788574219,5.929101782589182
10369,521.8772231249604,3300553717844,7.406756796822871,1530961,1.460038185119629,5.9467186117032425
10497,529.8741637500934,3352523808019,7.398886643029867,1547232,1.475555419921875,5.923331223107992
10625,537.7690222919919,3404442873035,7.401206089415918,1535726,1.4645824432373047,5.936623646178614
10753,545.7282919171266,3456290304737,7.411126898293331,1534656,1.46356201171875,5.947564886574581
10881,553.9342130830046,3508937051391,7.414174552417862,1543648,1.472137451171875,5.942037101245987
11009,561.9518725420348,3561269847217,7.405736625663172,1544874,1.473306655883789,5.932429969779383
11137,569.8391979581211,3613379246543,7.42259609559953,1514397,1.4442415237426758,5.978354571856854
11265,578.0244172920939,3667398158613,7.436679907622544,1518745,1.4483880996704102,5.988291807952134
11393,586.170247042086,3721108644739,7.426082635497732,1543727,1.472212791442871,5.953869844054861
11521,594.0882591251284,3773699677690,7.416300218932376,1545515,1.4739179611206055,5.94238225781177
11649,601.9763353751041,3825719999325,7.428869993594374,1550311,1.4784917831420898,5.950378210452284
11777,609.9040850419551,3877559873437,7.431426843665417,1560214,1.487936019897461,5.943490823767956
11905,617.767643207917,3929089106867,7.441453370120416,1540375,1.4690160751342773,5.972437294986139
12033,625.7040554580744,3981063378040,7.4496144128494945,1531726,1.4607677459716797,5.988846666877815
12161,633.7283559169155,4033762233595,7.458006708695895,1538614,1.467336654663086,5.990670054032809
12289,641.6605958330911,4086399817454,7.456266650466611,1543928,1.4724044799804688,5.983862170486142
12417,649.6220391250681,4138444633318,7.454857934485698,1554460,1.4824485778808594,5.972409356604839
12545,657.6804070419166,4191080644034,7.469213594956743,1541936,1.4705047607421875,5.998708834214556
12673,665.7551447080914,4244155255167,7.474283990583401,1536499,1.4653196334838867,6.008964357099514
12801,673.7615614999086,4296950110231,7.473832790997806,1576812,1.5037651062011719,5.970067684796634
12929,681.6106843750458,4348517785787,7.4720382907048295,1576212,1.5031929016113281,5.968845389093501
13057,689.4753866670653,4400056813982,7.4656990270593395,1585787,1.512324333190918,5.9533746938684216
13185,697.2840967921074,4451340321748,7.472381274138041,1583338,1.509988784790039,5.962392489348002
13313,705.061478999909,4503097202377,7.487690475777559,1563658,1.491220474243164,5.996470001534395
13441,712.9570697499439,4555615799879,7.485578585668929,1583109,1.509770393371582,5.975808192297347
13569,721.094216916943,4607733977791,7.491264714489558,1589446,1.5158138275146484,5.97545088697491
13697,729.1051312920172,4660498513541,7.489315015817473,1586076,1.5125999450683594,5.976715070749114
13825,736.9726697080769,4712031791895,7.487559680376087,1600675,1.5265226364135742,5.961037043962513
13953,744.6505423330236,4763270502679,7.482602705036744,1607038,1.5325908660888672,5.950011838947876
14081,752.3079405829776,4813852471018,7.482794300620247,1587592,1.5140457153320312,5.968748585288216
14209,759.9134866250679,4865132550664,7.483763024327252,1608912,1.5343780517578125,5.949384972569439
14337,767.8553512499202,4915846113107,7.480484370967984,1597506,1.5235004425048828,5.956983928463101
14465,775.8057560829911,4966682483736,7.482557805984868,1597369,1.5233697891235352,5.959188016861333
14593,783.7499138331041,5018026975962,7.501049947074261,1580801,1.5075693130493164,5.9934806340249445
14721,791.6416909580585,5069583638302,7.498318357854014,1588137,1.5145654678344727,5.983752890019542
14849,799.3947047919501,5120932597688,7.4906949869180295,1598643,1.5245847702026367,5.966110216715393
14977,806.9780721669085,5171631102749,7.472519506924666,1596792,1.5228195190429688,5.949699987881697
15105,814.9849207499065,5222325186446,7.4963805882331656,1581092,1.5078468322753906,5.988533755957775
15233,822.6227551670745,5273259180587,7.498471008628253,1576188,1.5031700134277344,5.995300995200519
15361,830.4393753749318,5324239945455,7.501901277567279,1554175,1.4821767807006836,6.019724496866595
15489,838.2952624999452,5375705098331,7.498455949545008,1539101,1.4678010940551758,6.030654855489832
15617,846.319088374963,5427500419414,7.514882541100426,1531180,1.4602470397949219,6.054635501305504
15745,854.0496847080067,5479157761759,7.502149849541514,1546605,1.4749574661254883,6.0271923834160255
15873,861.977580833016,5530316175259,7.513928593773894,1550803,1.4789609909057617,6.034967602868132
16000,869.7977263750508,5581167000260,7.500732324013407,1546700,1.4750480651855469,6.0256842588278605
