run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,radius,pooled_js_similarity,pooled_js_null_mean,pooled_js_excess,pooled_js_p,pooled_snapshot_count,early_mean_js_excess,final_mean_diagnostic_js_excess,positive_final_snapshots,temporal_mechanically_feasible
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.857017Z_12bf232a9832_202609070,202609070,1e-05,1e-05,True,0,True,0,628,0.619302734375,0,1.0,14531333,366,176,4999,True,49500,633,633,0.0,1.0,221.00882515168126,221.00882515168124,2.842170943040401e-14,1.0,49500,0.0026269665559692738,0.05,0.01914324021430147,0.4,8,0.9311182483027853,0.9296905118536579,0.0014277364491274147,0.001,10,0.001372554605137566,0.0014185353141502265,9,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.856991Z_ecc30c19bee8_202609071,202609071,1e-05,1e-05,True,0,True,0,612,0.6066669921875,0,1.0,22546826,378,171,4999,True,49500,615,615,0.0,1.0,223.14159292035416,223.14159292035416,0.0,1.0,49500,0.002249749031980495,0.05,-0.12118987021952776,0.9,8,0.9214752765138838,0.9226067277987434,-0.001131451284859586,0.997,10,0.0009522377717105512,-0.0011533920064152104,1,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.857008Z_0f54069a124f_202609072,202609072,1e-05,1e-05,True,0,True,0,596,0.59016484375,0,1.0,39448554,370,149,4999,True,49500,601,601,0.0,1.0,219.30843958712828,219.30843958712825,2.842170943040401e-14,1.0,49500,0.0016045636721113109,0.05,0.019854266589026892,0.2,8,0.9192157581954733,0.918624325744645,0.0005914324508282665,0.103,10,0.0006498797499670417,0.000556345816663506,8,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.856994Z_924f9b565091_202609073,202609073,1e-05,1e-05,True,0,True,0,641,0.6317087890625,0,1.0,24508622,340,163,4999,True,49500,644,644,0.0,1.0,219.9024390243903,219.90243902439028,2.842170943040401e-14,1.0,49500,0.0025310616559770533,0.05,0.021898959950107155,0.3,8,0.9236715040741421,0.9224598787566256,0.001211625317516507,0.001,10,0.0002849273422207754,0.0012472760281948213,8,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.857014Z_6c69b6159f3b_202609074,202609074,1e-05,1e-05,True,0,True,0,636,0.6271056640625,0,1.0,28968534,342,162,4999,True,49500,637,637,0.0,1.0,217.10486891385648,217.10486891385645,2.842170943040401e-14,1.0,49500,0.0028739233702620073,0.05,0.09689094048649238,0.25,8,0.9248343547222815,0.9240462267500112,0.0007881279722702361,0.047,10,0.0007704334991073148,0.0007933662011021525,8,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.856992Z_2a73646b83f0_202609075,202609075,1e-05,1e-05,True,0,True,0,658,0.645358203125,0,1.0,37205012,327,166,4999,True,49500,660,660,0.0,1.0,226.16822429906526,226.16822429906523,2.842170943040401e-14,1.0,49500,0.0016646054957665229,0.05,0.04361474132377907,0.35,8,0.9220003566086407,0.9210150908313729,0.000985265777267763,0.01,10,0.0007630073595067844,0.000933152812676985,7,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.857014Z_602775c0ab74_202609076,202609076,1e-05,1e-05,True,0,True,0,602,0.5956125,0,1.0,20530441,370,153,4999,True,49500,603,603,0.0,1.0,219.173598553346,219.17359855334604,-2.842170943040401e-14,1.0,49500,0.0016979626787452275,0.05,0.03951264072111904,0.15,8,0.9305891849079305,0.9291290701710241,0.0014601147369064371,0.001,10,0.0010588393061376378,0.001439384364244878,9,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.857005Z_aadd336b389b_202609077,202609077,1e-05,1e-05,True,0,True,0,615,0.6171630859375,0,1.0,23564835,379,175,4999,True,49500,617,617,0.0,1.0,220.94544399303564,220.9454439930356,2.842170943040401e-14,1.0,49500,0.0013809166372306617,0.05,0.10165498193590317,0.1,8,0.9214069181471306,0.9207146663496284,0.000692251797502208,0.065,10,0.0007879036815991336,0.0006774636359347496,8,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.856999Z_b95bee38f9c3_202609078,202609078,1e-05,1e-05,True,0,True,0,613,0.6072005859375,0,1.0,35883527,365,161,4999,True,49500,615,615,0.0,1.0,223.66942637492605,223.66942637492602,2.842170943040401e-14,1.0,49500,0.0016127402550745462,0.05,0.13748985534745373,0.1,8,0.9241363700271302,0.9231955017265064,0.0009408683006237872,0.015,10,-6.525137013492221e-05,0.0008988132499804125,9,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.857003Z_56aa6eb35cf5_202609079,202609079,1e-05,1e-05,True,0,True,0,616,0.604662109375,0,1.0,15905321,364,162,4999,True,49500,620,620,0.0,1.0,217.66704416761092,217.66704416761092,0.0,1.0,49500,0.0034323520173111816,0.05,-0.07061150095251101,0.85,8,0.9300155018211658,0.9288771647316524,0.001138337089513386,0.005,10,-0.00010702765193850716,0.0011107533232308287,8,True
