dissolution_rate,reseed_rate,runs,feasible_seeds,all_exits_successful,all_conserved,total_invariant_failures,median_late_occupied_fraction,min_population_across_seeds,total_dissolutions,total_placements,median_neighbor_excess,median_q1_beta_excess,occupancy_distance_from_0_8,eligible
1e-05,1e-05,3,3,True,True,0,0.796875,49,6,4,0.0,3.552713678800501e-15,0.0031250000000000444,True
1e-05,0.0001,3,3,True,True,0,0.84375,50,12,22,0.0,0.0,0.043749999999999956,True
0.0001,0.001,3,3,True,True,0,0.9013125,50,76,94,0.0,0.0,0.10131249999999992,True
0.0001,0.0001,3,3,True,True,0,0.6063125,35,75,33,0.0,1.7763568394002505e-15,0.1936875,True
0.0001,1e-05,3,3,True,True,0,0.5540625,31,50,6,0.0,1.7763568394002505e-15,0.24593750000000003,True
1e-05,0.001,3,2,True,True,0,0.98296875,50,16,51,0.0,3.552713678800501e-15,0.1829687499999999,True
1e-06,0.0001,3,1,True,True,0,0.890625,51,1,20,0.0,-3.552713678800501e-15,0.09062499999999996,False
1e-06,1e-05,3,0,True,True,0,0.8125,51,0,4,0.0,1.7763568394002505e-15,0.012499999999999956,False
1e-06,0.001,3,0,True,True,0,1.0,51,0,39,0.0,-3.552713678800501e-15,0.19999999999999996,False
