arm,run_id,min_high_order_entropy,final_high_order_entropy,viable_every_callback,longest_below_1_run_epochs,initial_excluded_share,final_excluded_share,excluded_share_ratio,excluded_share_non_increasing_fraction,first_soup_jsd_from_pool,final_soup_jsd_from_pool,jsd_pool_ratio,blocked_fraction_on_excluded,overall_blocked_fraction,final_distinct_tapes,final_dominant_fraction,final_active_instruction_fraction,max_conservation_residual
G1-excl6,p1_m2_n131072_s0_excl6_cont,5.975659607401222,6.038440098789999,True,0,0.20272481441497803,0.2005387544631958,0.9892166138709227,0.4875,0.1094685380357368,0.1495667798507446,1.3662992356937975,0.9863376129205997,6.033142257744868e-06,34955,0.0009307861328125,0.1570267677307129,0
G2-excl1,p1_m2_n131072_s0_excl1_cont,5.983303821375031,6.014605704532363,True,0,0.04577493667602539,0.03761458396911621,0.8217288040251258,0.5,0.0232633245215721,0.0533443308368172,2.293065670272147,0.9189070313504443,1.5732255498238722e-06,40577,0.0009002685546875,0.1573091745376587,0
G3-U0.05,p1_m0p05_n131072_s0_uniform_cont,5.130700191422003,5.25378181090989,True,0,0.0,0.0,,1.0,0.0999733363159336,0.2474590804088883,2.475250797141284,0.0,0.0002680270503322961,58501,0.0004730224609375,0.1602368354797363,0
G3-U0.1,p1_m0p1_n131072_s0_uniform_cont,5.517380270249658,5.665391654816304,True,0,0.0,0.0,,1.0,0.0945570591297648,0.2455210870994509,2.5965389507568286,0.0,8.761695732283064e-05,47620,0.00054931640625,0.1599704027175903,0
