condition,mutation_rate,first_transition_epoch,maximum_high_order_entropy,final_high_order_entropy,peak_epoch,runtime_seconds,transition_checkpoint
zero,0.0,,0.6583046739228049,0.4821667366498108,1281,281.17823245795444,False
reference,0.000244140625,2433.0,6.054635501305504,6.0256842588278605,15617,869.7977263750508,True
high,0.0078125,,0.0127487337273857,0.0105110526208189,4097,137.8534995841328,False
