radius,mutation_rate,runs,feasible,conserved,invariant_failures,median_occupancy,mean_unique_fraction,mean_singleton_fraction,median_ordered_block2_excess,median_ordered_block2_p,median_ordered_block8_excess,median_presence_block2_excess,median_byte_excess
1,6.103515625e-05,10,10,True,0,0.775919921875,0.7090480569742793,0.6243244621124744,0.16005454849350542,0.3195,0.0646415196736827,0.31539298502359614,0.0058531928075044905
1,0.000244140625,10,10,True,0,0.773080078125,0.7135333006553581,0.6244653352495873,0.21035592886001808,0.277,0.022402116423196894,0.43093140413175846,0.006185605843523484
8,6.103515625e-05,10,10,True,0,0.7744931640625,0.9584138548947212,0.9347173580612755,-0.05403311310445247,1.0,-0.007872360529090017,0.018242967812415856,0.0016099536700035404
8,0.000244140625,10,10,True,0,0.7742626953125,0.9260340725055667,0.8905443387280222,-0.01253948556511375,0.7015,0.02008307018015465,0.05817399773035703,0.0014180207479635295
