epoch,elapsed_seconds,character_reads,byte_entropy,brotli_size,compressed_bpb,high_order_entropy
1,1.969951040809974,39945079,7.999973652654976,8388751,8.000136375427246,-0.00016272277227002974
129,3.2847188329324126,4708054272,7.998566862681157,8210159,7.829817771911621,0.16874909076953593
257,4.511347749968991,9247826258,7.9951732460997675,8100466,7.72520637512207,0.2699668709776972
385,5.738207540940493,13722479792,7.989685883867542,8032467,7.660357475280762,0.3293284085867807
513,6.93454199982807,18159073217,7.982214624577809,7990712,7.620536804199219,0.3616778203785902
641,8.133782165823504,22562285127,7.973280110421065,7969538,7.600343704223633,0.3729364061974323
769,9.347997499862686,26938737788,7.961500715196218,7958831,7.590132713317871,0.37136800187834673
897,10.55260054091923,31289593413,7.949012145599237,7951909,7.583531379699707,0.36548076589953027
1025,11.768207374960184,35685040224,7.935426474548593,7938654,7.570890426635742,0.36453604791285077
1153,12.97722908295691,40103698801,7.921092133553568,7942945,7.574982643127441,0.3461094904261266
1281,14.20854116580449,44559376298,7.906040566560092,7943969,7.575959205627441,0.3300813609326507
1409,15.492366290884092,49057185775,7.889143128509177,7935136,7.567535400390625,0.3216077281185523
1537,16.748104124795645,53590591586,7.87278012801783,7929789,7.562436103820801,0.310344024197029
1665,18.022493958007544,58130278015,7.856577299641361,7927240,7.560005187988281,0.29657211165307995
1793,19.311480624834076,62719639069,7.840813591434107,7921478,7.554510116577148,0.2863034748569584
1921,20.624599624890834,67387534271,7.825320013464342,7913651,7.547045707702637,0.2782743057617054
2049,21.940357165876776,72109183031,7.808503622313928,7911790,7.545270919799805,0.2632327025141237
2177,23.2893305409234,76892899391,7.792149539285022,7900584,7.534584045410156,0.25756549387486594
2305,24.674288249807432,81793756032,7.7750737022035565,7893387,7.5277204513549805,0.24735325084857607
2433,26.099396749865264,87001275232,6.198711480335387,4583222,4.370901107788086,1.827810372547301
