epoch,elapsed_seconds,character_reads,byte_entropy,brotli_size,compressed_bpb,high_order_entropy,dominant_tape_count,dominant_tape_fraction,distinct_tapes
1,2.1502803328912705,4941794,7.999828770942543,1048579,8.000022888183594,-0.00019411724105111716,1,6.103515625e-05,16384
101,2.339670208049938,459533266,7.998777176300354,1030875,7.864952087402344,0.1338250888980106,2,0.0001220703125,16383
201,2.5268661670852453,894726348,7.996176720468785,1016332,7.753997802734375,0.24217891773441025,2,0.0001220703125,16383
301,2.7146897080820054,1330277504,7.992097828070337,1004382,7.6628265380859375,0.3292712899843995,3,0.00018310546875,16382
401,2.907742124982178,1762801316,7.986469969055625,999825,7.628059387207031,0.3584105818485934,1,6.103515625e-05,16384
501,3.103078250074759,2196277467,7.980486593257929,995059,7.591697692871094,0.3887889003868352,2,0.0001220703125,16383
601,3.2889305830467492,2625663960,7.972563499674357,993008,7.5760498046875,0.39651369498685707,2,0.0001220703125,16383
701,3.473726582946256,3057134672,7.962931801929452,994000,7.5836181640625,0.37931363786695194,3,0.00018310546875,16381
801,3.654981750063598,3481303777,7.954070004994278,992754,7.5741119384765625,0.37995806651771513,1,6.103515625e-05,16384
901,3.834520666860044,3897568040,7.942313964154362,993161,7.577217102050781,0.36509686210358083,2,0.0001220703125,16382
1001,4.027805541874841,4312953731,7.928287309717902,993794,7.5820465087890625,0.3462408009288396,1,6.103515625e-05,16384
1101,4.218908957904205,4724905095,7.91532134214262,992305,7.570686340332031,0.34463500181058837,2,0.0001220703125,16381
1201,4.405470208032057,5136557658,7.902870696274497,990904,7.55999755859375,0.3428731376807468,1,6.103515625e-05,16384
1301,4.594100582879037,5557562221,7.8897945272048275,990655,7.558097839355469,0.3316966878493588,2,0.0001220703125,16383
1401,4.789505125023425,5979412885,7.874043937924245,991067,7.561241149902344,0.31280278802190153,3,0.00018310546875,16382
1501,4.980790207860991,6412396087,7.861753899724409,990860,7.559661865234375,0.30209203449003397,1,6.103515625e-05,16384
1601,5.1781995829660445,6851626787,7.849352418390938,986568,7.52691650390625,0.32243591448468756,2,0.0001220703125,16383
1701,5.374342999886721,7285721496,7.836185851545701,986371,7.525413513183594,0.31077233836210727,1,6.103515625e-05,16384
1801,5.570958541939035,7729247465,7.822585501237135,988703,7.543205261230469,0.27938024000666584,1,6.103515625e-05,16384
1901,5.769985416904092,8187205893,7.814485454982723,988371,7.540672302246094,0.2738131527366292,1,6.103515625e-05,16384
2001,5.9812697500456125,8668132819,7.802924459794895,987010,7.5302886962890625,0.2726357635058321,1,6.103515625e-05,16384
2101,6.195468958001584,9156615819,7.791862768248038,987222,7.5319061279296875,0.2599566403183502,1,6.103515625e-05,16384
2201,6.402258875081316,9645323893,7.7743833323896,986377,7.525459289550781,0.24892404283881842,1,6.103515625e-05,16384
2301,6.605221082922071,10140187121,7.759917743231698,986854,7.5290985107421875,0.23081923248951064,1,6.103515625e-05,16384
2401,6.810762292006984,10633334848,7.739591538581516,984974,7.5147552490234375,0.22483628955807866,1,6.103515625e-05,16384
2501,7.016305125085637,11128349062,7.726732945052369,984846,7.5137786865234375,0.21295425852893146,1,6.103515625e-05,16384
2601,7.227925291983411,11631223734,7.713852866963299,983069,7.500221252441406,0.2136316145218924,1,6.103515625e-05,16384
2701,7.434429707936943,12141015452,7.704245331181978,984092,7.508026123046875,0.19621920813510307,2,0.0001220703125,16383
2801,7.643393707927316,12655904549,7.699327911951949,985219,7.516624450683594,0.18270346126835513,1,6.103515625e-05,16384
2901,7.855434916913509,13173792777,7.690609326241721,985626,7.5197296142578125,0.1708797119839085,2,0.0001220703125,16383
3001,8.068361124955118,13701802471,7.6826737812256525,987224,7.53192138671875,0.15075239450690248,1,6.103515625e-05,16384
3101,8.282379207899794,14224911774,7.679180687431549,986913,7.529548645019531,0.14963204241201744,1,6.103515625e-05,16384
3201,8.496484082890674,14753857916,7.671498683915705,986154,7.5237579345703125,0.1477407493453926,1,6.103515625e-05,16384
3301,8.713314417051151,15287722294,7.66324849066193,987510,7.5341033935546875,0.12914509710724253,1,6.103515625e-05,16384
3401,8.932364957872778,15834573985,7.651806697476454,987089,7.530891418457031,0.12091527901942278,1,6.103515625e-05,16384
3501,9.153125291923061,16383856934,7.644263473082112,986674,7.5277252197265625,0.11653825335554924,1,6.103515625e-05,16384
3601,9.37274141702801,16937514996,7.637148254224286,986562,7.5268707275390625,0.11027752668522339,1,6.103515625e-05,16384
3701,9.58982341689989,17489933671,7.630200006064364,985707,7.520347595214844,0.10985241084952069,1,6.103515625e-05,16384
3801,9.806579167023301,18041705466,7.622092392345667,985299,7.517234802246094,0.10485759009957363,1,6.103515625e-05,16384
3901,10.028811249881983,18592731125,7.619671969648906,986670,7.5276947021484375,0.09197726750046886,1,6.103515625e-05,16384
4001,10.24428370804526,19147129259,7.61746992453567,985838,7.5213470458984375,0.09612287863723257,1,6.103515625e-05,16384
4101,10.46349920798093,19706028484,7.6197059897912505,987644,7.535125732421875,0.08458025736937547,1,6.103515625e-05,16384
4201,10.687970082974061,20272920804,7.6192708841183485,987447,7.533622741699219,0.08564814241912977,1,6.103515625e-05,16384
4301,10.91138904192485,20844198528,7.614989404716968,987479,7.533866882324219,0.0811225223927492,1,6.103515625e-05,16384
4401,11.134448667056859,21408505835,7.613926770519051,987708,7.535614013671875,0.07831275684717642,1,6.103515625e-05,16384
